# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_pit
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-1156.463135 989.197266 -954.867981	2.223 -18.473 -84.119
weapon_jm_secondary_heavy	1155.099365 33.533058 -954.866211	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	-1892.477539 994.993896 285.135773	2.224 -18.471 -84.137
weapon_jm_secondary_heavy	-2017.445923 859.220459 285.171143	2.237 -18.492 -84.500
weapon_jm_secondary_heavy	-1191.672852 24.227396 285.184540	2.242 -18.495 -84.637
weapon_jm_secondary_heavy	-1054.164795 159.553680 285.099426	2.209 -18.342 -83.764
weapon_jm_secondary_heavy	2013.379883 163.610855 285.112671	2.215 -18.398 -83.900
weapon_jm_secondary_heavy	1888.339355 28.545183 285.112671	2.215 -18.398 -83.900
weapon_jm_secondary_heavy	1059.840820 867.976807 285.116821	2.216 -18.398 -83.943
weapon_jm_secondary_heavy	1187.138916 989.166504 285.152100	2.230 -18.490 -84.304
weapon_jm_grenade_tag	-1059.769409 867.478149 -955.561523	-2.578 -1.238 -1.410
weapon_jm_grenade_tag	-1167.838135 994.100159 -955.536682	-1.667 -1.464 -0.911
weapon_jm_grenade_tag	1172.073608 24.396391 -955.552673	-2.252 -1.362 -1.231
weapon_jm_grenade_tag	1048.478271 139.118546 -955.534058	-1.570 -1.475 -0.858
weapon_jm_grenade_tag	-2016.034912 174.481567 284.442535	-2.502 -1.323 -1.368
weapon_jm_grenade_tag	-2016.568481 876.915833 284.452942	-2.120 -1.402 -1.159
weapon_jm_grenade_tag	-1188.078491 986.257813 284.468719	-2.037 -1.012 -0.555
weapon_jm_grenade_tag	-1053.795532 144.166489 284.440460	-2.578 -1.238 -1.410
weapon_jm_grenade_tag	2022.141235 860.195496 284.434967	-2.780 -1.170 -1.520
weapon_jm_grenade_tag	2018.721924 142.428513 284.440460	-2.578 -1.238 -1.410
weapon_jm_grenade_tag	1175.405884 35.825298 284.448425	-2.286 -1.367 -1.250
weapon_jm_grenade_tag	1050.309937 852.623230 284.446503	-2.356 -1.359 -1.288
weapon_jm_grenade_jump	-247.543518 342.029877 284.449341	-2.252 -1.362 -1.231
weapon_jm_grenade_jump	248.741776 345.942841 284.436096	-2.738 -1.229 -1.498
weapon_jm_primary_smg	-2023.350830 901.734680 -954.620789	0.305 6.111 -87.520
weapon_jm_primary_smg	-1916.675659 989.208618 -954.627625	0.313 6.175 -87.281
weapon_jm_primary_smg	1888.896606 979.994263 -954.627502	0.308 6.177 -87.275
weapon_jm_primary_smg	2016.105225 857.984497 -954.626892	0.288 6.175 -87.250
weapon_jm_grenade_glue	-528.323853 676.256958 289.740173	-0.044 0.000 -0.025
weapon_jm_grenade_glue	536.769958 674.075500 289.732117	-0.046 0.000 -0.026
weapon_jm_grenade_glue	568.936401 676.087646 289.752777	-0.000 -0.000 0.047
weapon_jm_grenade_glue	-547.697815 681.740967 289.712097	-0.053 0.000 -0.030
weapon_jm_primary_lmg	22.856340 516.495544 -888.695740	18.634 -0.367 2.992
weapon_jm_primary_rifle	-1055.611328 126.873505 -954.855164	0.028 10.228 -87.712
weapon_jm_primary_rifle	-1144.789795 28.420231 -954.859192	0.173 11.252 -87.216
weapon_jm_primary_rifle	2016.540283 120.110420 -954.864685	0.181 11.252 -87.155
weapon_jm_primary_rifle	1923.208374 27.049217 -954.869080	0.187 11.252 -87.107
weapon_jm_secondary_light	-1210.847046 989.997131 -954.826721	-0.498 34.065 89.797
weapon_jm_secondary_light	-1189.724243 990.398438 -954.826172	-0.580 34.062 89.881
weapon_jm_secondary_light	-1058.305786 857.301453 -954.826477	-0.529 34.064 89.829
weapon_jm_secondary_light	-1057.607422 833.344666 -954.825745	-0.644 34.057 89.948
weapon_jm_secondary_light	1211.659912 32.498508 -954.825378	-0.706 34.054 90.011
weapon_jm_secondary_light	1186.767334 30.692255 -954.824951	-0.773 34.052 90.080
weapon_jm_secondary_light	1054.952881 160.361526 -954.825195	-0.738 34.054 90.045
weapon_jm_secondary_light	1057.473145 183.795410 -954.826782	-0.484 34.065 89.782
weapon_jm_secondary_auto	-1060.876831 888.648560 -954.613342	-0.499 25.640 90.940
weapon_jm_secondary_auto	1059.513428 131.052994 -954.609802	-0.711 25.625 91.379
weapon_jm_secondary_auto	-2015.508057 162.836395 285.392456	-0.727 25.619 91.412
weapon_jm_secondary_auto	-1889.200073 33.870895 285.390961	-0.637 25.633 91.226
weapon_jm_secondary_auto	-1182.268311 992.276123 285.389618	-0.556 25.638 91.058
weapon_jm_secondary_auto	-1056.115234 856.050659 285.391083	-0.644 25.631 91.240
weapon_jm_secondary_auto	1896.890991 1000.063904 285.393188	-0.770 25.609 91.501
weapon_jm_secondary_auto	2023.396362 875.013489 285.392334	-0.719 25.619 91.396
weapon_jm_secondary_auto	1180.699951 27.304283 285.394989	-0.876 25.578 91.721
weapon_jm_secondary_auto	1055.856445 163.938736 285.392609	-0.736 25.618 91.430
weapon_jm_primary_sniper	219.315323 349.808624 283.395935	3.625 13.254 64.962
weapon_jm_primary_sniper	-217.162170 347.226593 283.454407	3.490 13.206 65.300
weapon_jm_primary_shotgun	-1886.488281 31.344172 -954.227417	-0.508 -9.605 -89.331
weapon_jm_primary_shotgun	-2009.569580 163.405212 -954.218262	-0.511 -9.604 -89.405
weapon_jm_primary_shotgun	1055.618774 885.702942 -954.265991	-0.496 -9.896 -89.022
weapon_jm_primary_shotgun	1152.530396 989.680725 -954.296570	-0.487 -9.620 -88.776
weapon_jm_grenade_frag	1884.076660 992.889282 286.445770	-36.802 -55.681 -91.644
weapon_jm_grenade_frag	1901.029053 38.027725 286.374878	-35.718 -56.757 -89.965
weapon_jm_grenade_frag	1051.074341 143.057785 286.360138	-35.493 -56.962 -89.626
weapon_jm_grenade_frag	1167.828247 995.111572 286.431274	-36.580 -55.909 -91.294
weapon_jm_grenade_frag	-1907.874268 37.052120 286.421234	-36.427 -56.066 -91.054
weapon_jm_grenade_frag	-1912.472290 993.241333 286.465820	-37.108 -55.354 -92.134
weapon_jm_grenade_frag	-1064.837402 891.596130 286.421234	-36.427 -56.066 -91.054
weapon_jm_grenade_frag	-1165.135864 36.424465 286.423309	-36.458 -56.033 -91.103
weapon_jm_grenade_health	1001.671692 447.936279 284.704010	-0.054 -0.000 -0.036
weapon_jm_grenade_health	-1002.804199 630.638916 284.649048	-0.038 0.000 -0.090
weapon_jm_grenade_health	-1003.494385 644.613098 284.686249	-0.070 -0.000 -0.029
weapon_jm_grenade_health	1002.341125 457.434052 284.674286	-0.078 0.000 -0.031
ent_jm_carepackage_spawn	1918.890991 114.698051 -991.627686	0.001 0.000 0.001
ent_jm_carepackage_spawn	1877.640381 587.722412 -1015.649963	0.025 -0.007 -0.019
ent_jm_carepackage_spawn	1882.149658 873.891785 -991.620178	0.002 0.000 0.001
ent_jm_carepackage_spawn	1532.559448 886.366211 -1015.658386	0.002 0.000 -0.001
ent_jm_carepackage_spawn	1565.665405 172.522354 -1015.651367	0.002 0.000 -0.001
ent_jm_carepackage_spawn	1179.260010 139.046585 -991.606506	0.003 0.000 0.002
ent_jm_carepackage_spawn	1150.616943 909.656494 -991.639832	0.001 0.000 0.000
ent_jm_carepackage_spawn	1226.587524 525.443726 -1015.611877	0.010 -0.009 0.001
ent_jm_carepackage_spawn	780.649231 455.155548 -1015.668213	0.002 0.000 -0.001
ent_jm_carepackage_spawn	668.414734 621.567200 -886.132385	-0.013 0.018 -0.019
ent_jm_carepackage_spawn	171.765594 377.719940 -1015.628174	0.002 0.000 -0.000
ent_jm_carepackage_spawn	182.328857 631.014893 -1015.592651	0.005 0.020 -0.003
ent_jm_carepackage_spawn	-191.578201 623.818909 -1015.626282	0.002 0.000 -0.000
ent_jm_carepackage_spawn	-279.718567 355.068512 -1015.610168	0.003 0.000 0.001
ent_jm_carepackage_spawn	-696.369507 567.707703 -1015.671143	-0.020 0.012 -0.024
ent_jm_carepackage_spawn	-682.122314 400.080292 -886.142090	-0.002 0.000 0.003
ent_jm_carepackage_spawn	-1175.949951 516.816528 -1015.642456	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-1163.832397 86.533340 -991.646301	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-1172.629761 920.860474 -991.667603	0.001 0.000 -0.000
