# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_pool
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	1201.832520 -374.351959 512.897766	2.857 -16.635 -84.318
weapon_jm_secondary_heavy	829.288940 -363.855225 512.923767	2.648 -16.687 -84.677
weapon_jm_secondary_heavy	1000.979736 -471.451324 165.175873	2.239 -18.492 -84.548
weapon_jm_secondary_heavy	1705.785156 -349.604279 169.552979	2.048 -20.549 -85.712
weapon_jm_secondary_heavy	166.112778 -339.511780 169.552780	1.877 -20.613 -86.009
weapon_jm_secondary_heavy	-193.271378 -947.073059 128.864151	3.127 -16.557 -83.854
weapon_jm_secondary_heavy	-56.686436 -955.306824 128.865753	3.114 -16.571 -83.876
weapon_jm_secondary_heavy	-656.215393 -958.152771 128.880539	2.995 -16.605 -84.080
weapon_jm_secondary_heavy	-768.788818 -952.275696 128.832809	3.378 -16.484 -83.421
weapon_jm_secondary_heavy	3233.588135 860.344543 128.893234	2.893 -16.632 -84.255
weapon_jm_secondary_heavy	3415.173096 146.303238 169.552826	1.916 -20.599 -85.941
weapon_jm_secondary_heavy	3430.488770 1191.694214 128.881897	2.984 -16.606 -84.099
weapon_jm_grenade_tag	998.656982 -500.703369 164.457123	-1.966 -1.430 -1.075
weapon_jm_grenade_tag	1050.145996 -501.076752 164.453796	-2.088 -1.401 -1.142
weapon_jm_grenade_tag	1014.476379 -1501.089600 224.159454	-2.578 -1.238 -1.410
weapon_jm_grenade_tag	1026.521118 1202.144043 128.159622	-2.278 -1.303 -1.640
weapon_jm_grenade_tag	3161.023193 574.662537 392.145782	-2.731 -1.140 -1.967
weapon_jm_grenade_tag	-670.971924 -355.905334 128.180862	-1.588 -1.441 -1.142
weapon_jm_grenade_tag	2720.611572 -360.175446 128.172928	-1.845 -1.408 -1.328
weapon_jm_grenade_jump	-1402.938843 1151.776611 656.150635	-2.570 -1.160 -1.850
weapon_jm_grenade_jump	979.673462 -995.365601 704.161682	-2.210 -1.303 -1.591
weapon_jm_grenade_jump	3167.059326 190.449905 656.170288	-1.930 -1.379 -1.389
weapon_jm_grenade_jump	1337.475830 1177.695923 128.161697	-2.210 -1.303 -1.591
weapon_jm_primary_smg	3602.315430 -132.264053 129.096344	0.208 6.191 -87.152
weapon_jm_primary_smg	3172.701904 580.860596 393.096313	0.208 6.194 -87.152
weapon_jm_primary_smg	-1270.828857 657.131714 139.046814	0.305 6.174 -87.272
weapon_jm_primary_smg	1879.753052 -703.409607 329.096313	0.208 6.182 -87.152
weapon_jm_primary_smg	169.308258 -678.193542 329.096313	0.208 6.194 -87.152
weapon_jm_primary_smg	2297.958984 -489.175751 129.096344	0.208 6.194 -87.152
weapon_jm_primary_smg	-250.067337 -470.206787 129.096344	0.208 6.194 -87.152
weapon_jm_grenade_glue	2305.887695 -448.547241 133.505524	-0.043 0.000 0.003
weapon_jm_grenade_glue	-253.236053 -427.493195 133.455994	-0.049 0.000 -0.028
weapon_jm_grenade_glue	-1004.226929 510.551941 205.487137	0.031 -0.000 0.021
weapon_jm_primary_lmg	1309.071167 1179.926025 125.808449	18.634 -0.434 2.992
weapon_jm_primary_rifle	2215.216797 1156.965576 268.574402	0.197 11.252 -87.022
weapon_jm_primary_rifle	1053.755493 1189.448608 128.876785	-0.044 11.143 -87.631
weapon_jm_primary_rifle	1598.229126 -367.410828 512.862183	-0.062 11.138 -87.519
weapon_jm_primary_rifle	445.806274 -360.320526 512.873413	-0.048 11.142 -87.605
weapon_jm_secondary_light	999.551147 -336.372650 165.176559	-0.695 34.055 90.000
weapon_jm_secondary_light	1000.788818 -354.995941 165.174606	-0.385 34.068 89.680
weapon_jm_secondary_light	999.078369 -381.155457 165.173782	-0.256 34.071 89.547
weapon_jm_secondary_light	1002.302917 -399.545166 165.173599	-0.227 34.071 89.517
weapon_jm_secondary_light	1044.787842 -399.655792 165.175613	-0.546 34.063 89.846
weapon_jm_secondary_light	1044.255859 -384.092163 165.176178	-0.635 34.059 89.938
weapon_jm_secondary_light	1045.278809 -367.006470 165.176682	-0.716 34.054 90.022
weapon_jm_secondary_light	1046.529785 -346.509247 165.176895	-0.750 34.052 90.057
weapon_jm_secondary_auto	1046.945313 -475.796906 165.391815	-0.688 25.625 91.331
weapon_jm_secondary_auto	2110.048828 -946.955078 129.111847	-0.741 25.435 91.458
weapon_jm_secondary_auto	2233.000977 -962.668640 129.110657	-0.670 25.445 91.309
weapon_jm_secondary_auto	2681.267090 -955.127625 129.108490	-0.543 25.454 91.042
weapon_jm_secondary_auto	2808.440430 -942.357788 129.113571	-0.841 25.413 91.670
weapon_jm_secondary_auto	1192.968384 -983.591858 329.107849	-0.507 25.455 90.967
weapon_jm_secondary_auto	859.614380 -993.216736 329.111145	-0.700 25.441 91.373
weapon_jm_secondary_auto	438.741058 -858.836914 129.109512	-0.610 25.634 91.171
weapon_jm_secondary_auto	1610.276489 -862.702698 129.111191	-0.711 25.624 91.379
weapon_jm_secondary_auto	-1000.447815 220.559341 201.107498	-0.606 25.137 90.960
weapon_jm_secondary_auto	-995.212585 360.153809 201.111603	-0.946 25.087 91.501
weapon_jm_secondary_auto	-990.633057 814.477234 201.109421	-0.764 25.123 91.212
weapon_jm_secondary_auto	-996.432007 669.638855 201.112473	-1.018 25.039 91.616
weapon_jm_secondary_auto	2705.950439 -365.608673 129.111038	-0.692 25.442 91.356
weapon_jm_secondary_auto	-692.560364 -368.370850 129.109818	-0.621 25.449 91.206
weapon_jm_primary_sniper	3180.413330 180.462387 655.139587	3.351 13.317 64.923
weapon_jm_primary_sniper	985.140198 -968.950684 703.171204	3.339 13.332 65.157
weapon_jm_primary_sniper	-1406.652100 1134.926147 655.209595	3.325 13.349 65.441
weapon_jm_primary_shotgun	1017.402710 -1478.595703 225.461807	-0.499 -9.613 -89.076
weapon_jm_primary_shotgun	57.729435 -864.617676 129.433212	-0.490 -9.618 -88.847
weapon_jm_primary_shotgun	1976.169800 -868.550293 129.419830	-0.486 -9.620 -88.739
weapon_jm_primary_shotgun	2460.926025 -985.888489 129.444626	-0.493 -9.553 -88.938
weapon_jm_primary_shotgun	-421.866058 -971.963318 129.452225	-0.496 -9.553 -88.999
weapon_jm_primary_shotgun	3586.395264 1173.012207 139.888474	-0.495 -9.615 -88.976
weapon_jm_grenade_frag	839.056213 -368.977753 514.104675	13.047 -31.976 -89.992
weapon_jm_grenade_frag	1217.671997 -375.127289 514.068848	13.077 -31.859 -89.408
weapon_jm_grenade_frag	2204.869629 1143.355225 269.803070	-35.398 -57.048 -89.483
weapon_jm_grenade_health	32.275059 -868.473511 128.374985	-0.085 0.000 -0.032
weapon_jm_grenade_health	2002.687988 -861.138733 128.350113	-0.100 0.000 -0.038
weapon_jm_grenade_health	-769.977539 -1013.230957 161.322830	0.464 -0.162 -0.290
weapon_jm_grenade_health	2831.957031 -1013.226990 161.325775	0.561 -0.451 -0.208
ent_jm_carepackage_spawn	-1428.251099 9.846247 128.388657	0.002 0.000 0.002
ent_jm_carepackage_spawn	-1385.507080 293.199493 128.368500	0.001 0.000 0.000
ent_jm_carepackage_spawn	-1274.114014 477.163727 138.302261	-0.002 0.000 0.003
ent_jm_carepackage_spawn	-1414.356812 548.362610 128.446289	0.083 -0.000 0.082
ent_jm_carepackage_spawn	-1420.465088 800.155579 128.451675	0.120 -0.000 0.120
ent_jm_carepackage_spawn	-1575.400391 1081.685791 128.390335	0.003 0.000 0.002
ent_jm_carepackage_spawn	-1264.520264 1072.143555 128.335068	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-1000.365417 1134.062378 128.388657	0.002 0.000 0.002
ent_jm_carepackage_spawn	-715.747986 1089.315186 128.499802	-0.000 -0.855 0.000
ent_jm_carepackage_spawn	-102.412888 1072.592773 128.427597	-0.076 0.000 -0.072
ent_jm_carepackage_spawn	698.296692 1136.992432 128.452194	-0.131 0.084 0.002
ent_jm_carepackage_spawn	209.741089 1087.509521 128.499832	0.114 -0.000 -0.114
ent_jm_carepackage_spawn	1416.162598 1107.997559 128.441818	-0.160 0.083 0.002
ent_jm_carepackage_spawn	2290.419922 1047.299194 128.396118	-0.009 0.008 -0.008
ent_jm_carepackage_spawn	2391.677002 1173.805786 268.223907	-0.014 0.004 0.014
ent_jm_carepackage_spawn	2859.274414 1141.400757 128.358185	0.001 0.000 0.000
ent_jm_carepackage_spawn	3232.182373 1103.092896 128.347061	0.001 0.000 -0.000
ent_jm_carepackage_spawn	3385.187744 962.571045 128.344742	0.001 0.000 -0.000
ent_jm_carepackage_spawn	3580.233398 1002.394775 138.799225	-0.002 0.000 0.003
ent_jm_carepackage_spawn	3555.961670 120.528229 128.322128	0.001 0.000 -0.000
ent_jm_carepackage_spawn	3431.914795 669.125916 128.415375	0.009 -0.000 0.009
ent_jm_carepackage_spawn	3387.340088 862.802429 128.364471	0.001 0.000 0.000
ent_jm_carepackage_spawn	3212.866943 497.999512 128.410019	0.007 0.000 0.006
ent_jm_carepackage_spawn	3217.527588 288.343536 128.319427	0.001 0.000 -0.000
ent_jm_carepackage_spawn	3518.904785 435.052612 128.402878	0.004 0.000 0.004
ent_jm_carepackage_spawn	3568.778076 -76.170395 128.335068	0.001 0.000 -0.000
ent_jm_carepackage_spawn	3047.135254 -130.685822 128.386963	0.002 0.000 0.002
ent_jm_carepackage_spawn	3200.966064 30.934540 128.342377	0.001 0.000 -0.000
ent_jm_carepackage_spawn	2789.840576 -71.639091 128.379898	0.002 0.000 0.001
ent_jm_carepackage_spawn	2930.367676 265.550476 728.374451	-0.004 -0.010 0.008
ent_jm_carepackage_spawn	2964.578125 510.927307 464.364014	-0.012 0.017 -0.017
ent_jm_carepackage_spawn	2998.795898 805.071899 200.357910	-0.017 -0.012 0.020
ent_jm_carepackage_spawn	3285.054932 511.987091 392.344727	0.001 0.000 -0.000
ent_jm_carepackage_spawn	3281.477295 261.275757 656.366455	0.001 0.000 0.000
ent_jm_carepackage_spawn	2454.926025 -153.895996 128.405609	-0.014 -0.014 0.013
ent_jm_carepackage_spawn	2104.258545 -172.024399 128.332565	0.001 0.000 -0.000
ent_jm_carepackage_spawn	1728.517334 -135.077759 128.346344	-0.014 0.015 -0.022
ent_jm_carepackage_spawn	1273.614380 -87.067627 128.395218	0.003 0.000 0.003
ent_jm_carepackage_spawn	936.272034 -97.220833 128.379471	-0.011 0.016 -0.017
ent_jm_carepackage_spawn	531.448853 -109.381508 128.366501	0.001 0.000 0.000
ent_jm_carepackage_spawn	148.325470 -102.939926 128.342377	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-214.466278 -54.056919 128.398346	0.004 0.000 0.003
ent_jm_carepackage_spawn	-785.444153 -92.222649 128.411392	0.007 0.000 0.007
ent_jm_carepackage_spawn	-1219.756470 -68.230988 128.390350	0.010 -0.021 0.184
ent_jm_carepackage_spawn	-1011.870422 -109.268822 128.368149	-0.022 0.007 -0.006
ent_jm_carepackage_spawn	-1122.232788 225.231766 192.386963	0.002 0.000 0.002
ent_jm_carepackage_spawn	-1121.850708 512.769897 192.388672	0.002 0.000 0.002
ent_jm_carepackage_spawn	-1119.434082 814.053223 192.385239	0.002 0.000 0.001
ent_jm_carepackage_spawn	-523.997070 -79.927429 128.342377	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-666.682495 -268.106110 128.344742	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-684.865540 -610.803101 128.393616	0.003 0.000 0.002
ent_jm_carepackage_spawn	-735.101135 -840.136902 128.356033	0.001 0.000 0.000
ent_jm_carepackage_spawn	-454.260071 -852.722961 128.396790	0.003 0.000 0.003
ent_jm_carepackage_spawn	-196.200104 -817.065002 128.360321	0.001 0.000 0.000
ent_jm_carepackage_spawn	-134.298233 -653.204224 128.368500	0.001 0.000 0.000
ent_jm_carepackage_spawn	-155.391068 -269.848999 128.402878	0.005 0.000 0.004
ent_jm_carepackage_spawn	131.035553 -404.466431 128.402435	0.005 0.000 0.003
ent_jm_carepackage_spawn	554.857422 -316.681122 128.373764	0.002 0.000 -0.000
ent_jm_carepackage_spawn	473.310303 -549.872253 128.350937	0.002 0.000 -0.001
ent_jm_carepackage_spawn	62.290771 -923.593506 128.376129	0.002 0.000 0.001
ent_jm_carepackage_spawn	742.149414 -892.015442 128.396317	0.004 0.000 0.002
ent_jm_carepackage_spawn	1007.455383 -909.632019 128.357544	0.002 0.000 -0.001
ent_jm_carepackage_spawn	982.624756 -585.838318 128.359680	0.002 0.000 -0.001
