# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_rising_tide
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-3626.048828 988.502502 480.970642	2.044 -18.869 -85.718
weapon_jm_secondary_heavy	-3628.444824 999.639282 480.970612	2.008 -18.733 -85.781
weapon_jm_secondary_heavy	-3487.904541 1173.109375 480.970764	2.158 -18.667 -85.520
weapon_jm_secondary_heavy	-3471.447754 1169.922119 480.782715	3.264 -20.153 -82.974
weapon_jm_secondary_heavy	-2015.457520 995.855347 736.970459	1.865 -18.722 -86.030
weapon_jm_secondary_heavy	-823.113586 -116.754753 1112.970581	1.932 -18.777 -85.913
weapon_jm_secondary_heavy	-819.163879 118.593933 1112.970581	1.992 -18.745 -85.809
weapon_jm_secondary_heavy	2062.086182 -373.208038 1472.970581	2.050 -19.077 -85.708
weapon_jm_grenade_push	-3243.833740 -131.655304 736.123718	-1.403 -1.113 -1.164
weapon_jm_grenade_push	-3241.716309 114.725166 736.155151	-1.596 -1.414 -1.625
weapon_jm_grenade_push	2063.615479 22.036734 1984.134888	-2.029 -1.257 -2.068
weapon_jm_grenade_push	3468.163574 -146.948975 1760.165527	-1.373 -1.484 -1.397
item_jm_ammo_light	-3289.830811 -540.224976 416.365295	0.457 0.058 0.042
item_jm_ammo_light	-3291.208740 -29.369907 352.323883	0.449 0.069 0.058
item_jm_ammo_light	-3292.182861 482.571259 416.314758	0.447 0.073 0.062
item_jm_ammo_light	-3294.332520 -48.991070 352.340546	0.452 0.065 0.052
item_jm_ammo_light	-3292.707520 -10.576618 352.378632	0.460 0.056 0.037
item_jm_ammo_light	-3288.417969 -560.517090 416.312408	0.447 0.073 0.063
item_jm_ammo_light	-3291.558594 -524.612244 416.323883	0.449 0.069 0.058
item_jm_ammo_light	-3293.331055 498.087708 416.330383	0.450 0.068 0.056
item_jm_ammo_light	-3293.403320 466.636536 416.423828	0.469 0.054 0.019
item_jm_ammo_light	-3477.290039 -1204.426758 480.305084	0.445 0.080 0.066
item_jm_ammo_light	-3491.952393 -1203.883179 480.336578	0.451 0.065 0.053
item_jm_ammo_light	-3629.296143 -1026.291504 480.362061	0.456 0.058 0.043
item_jm_ammo_light	-3624.686035 -1005.654053 480.390289	0.462 0.055 0.032
item_jm_ammo_light	-2290.183838 -286.857483 736.348145	0.454 0.062 0.049
item_jm_ammo_light	-109.615692 525.235413 992.371460	0.458 0.057 0.040
item_jm_ammo_light	2058.388184 397.833710 1472.332397	0.451 0.065 0.055
item_jm_ammo_light	2080.494385 23.846313 1984.321777	0.449 0.068 0.060
item_jm_ammo_light	3463.334717 -210.059402 1760.323853	0.449 0.069 0.058
item_jm_ammo_light	3945.465332 338.460693 1632.332520	0.451 0.065 0.055
item_jm_ammo_light	4429.903320 -164.387924 1632.380127	0.460 0.056 0.036
item_jm_ammo_heavy	-3627.236572 1022.708191 480.394775	-0.930 -0.001 0.831
item_jm_ammo_heavy	-3626.708252 1040.091431 480.458801	-0.574 0.026 -1.040
