# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_roof_party
# Exported by: Seb
setting:	replacespawns 0
weapon_jm_secondary_heavy	122.299042 -145.364929 896.970520	1.905 -20.599 -85.960
weapon_jm_secondary_heavy	268.859894 -152.363556 416.043182	2.123 -18.182 -86.103
weapon_jm_secondary_heavy	-29.610910 -235.372070 405.686554	2.080 -18.969 -85.667
weapon_jm_secondary_heavy	24.105703 993.406494 420.780304	2.187 -75.927 85.045
weapon_jm_secondary_heavy	-1039.404541 1276.754883 421.279968	1.996 -20.039 -85.582
weapon_jm_secondary_heavy	449.401306 1328.296265 590.320801	1.846 -20.629 -86.063
weapon_jm_secondary_heavy	-529.586426 1812.419067 384.837860	2.217 -18.398 -83.963
weapon_jm_secondary_heavy	57.392017 1453.739868 384.970520	1.906 -18.795 -85.959
weapon_jm_secondary_heavy	1165.806519 1082.269043 149.181122	2.090 -19.597 -84.749
weapon_jm_secondary_heavy	127.726982 -137.993347 512.970398	1.822 -19.174 -86.105
weapon_jm_grenade_tag	-22.456020 -247.045731 404.929260	-0.245 -1.222 -0.069
weapon_jm_grenade_tag	-34.642036 -247.087143 404.903717	2.942 0.730 -0.768
weapon_jm_grenade_tag	300.424286 -133.845352 415.245239	-0.150 1.452 0.499
weapon_jm_grenade_tag	263.440948 -133.276520 415.162079	-0.853 -1.802 -0.933
weapon_jm_grenade_tag	-709.236450 1576.365967 548.151428	-1.164 -1.521 -1.184
weapon_jm_grenade_tag	-1022.502197 1236.418457 420.541290	-0.919 -1.611 -1.404
weapon_jm_grenade_tag	1086.956177 1493.587158 384.157379	-1.548 -1.444 -1.577
weapon_jm_grenade_tag	8.153479 996.956299 421.838043	25.356 64.099 90.189
weapon_jm_grenade_tag	-98.691574 836.472046 419.073456	-1.263 -1.490 -1.494
weapon_jm_grenade_tag	-69.795952 469.901611 434.166412	-1.347 -1.511 -1.208
weapon_jm_grenade_tag	366.617889 753.389404 426.487976	1.206 -0.408 -2.989
weapon_jm_grenade_tag	-814.235840 1838.341797 410.123230	-0.606 -1.729 -0.922
weapon_jm_grenade_tag	-728.081970 1836.074951 410.092987	-0.906 -1.607 -1.383
weapon_jm_grenade_tag	-506.104980 1801.981689 384.180023	-1.824 -1.448 -0.997
weapon_jm_grenade_tag	306.681335 1359.828613 594.242004	-0.973 -1.408 -0.710
weapon_jm_grenade_jump	115.857857 1281.395142 672.155151	-1.596 -1.414 -1.625
weapon_jm_grenade_jump	-769.456421 778.559387 384.186310	-1.593 -1.475 -0.871
weapon_jm_grenade_jump	102.405182 -138.718765 512.112793	-1.255 -1.217 -0.731
weapon_jm_grenade_jump	933.773376 634.067810 192.172943	-1.845 -1.408 -1.327
weapon_jm_grenade_jump	110.488968 -129.124466 1024.196899	-2.468 0.517 0.122
weapon_jm_primary_smg	-167.176285 -71.253143 384.968475	0.723 6.415 -85.710
weapon_jm_primary_smg	1087.215088 1507.579834 385.092560	0.343 6.561 -87.318
