# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_sanctum
# Exported by: Seb
setting:	replacespawns 0
weapon_jm_secondary_heavy	-558.386475 1441.343872 -844.885254	2.215 -18.401 -83.922
weapon_jm_secondary_heavy	-645.258911 1403.250610 -994.661682	1.932 -20.588 -85.914
weapon_jm_secondary_heavy	564.891113 2664.349609 -845.181030	2.021 -17.925 -83.870
weapon_jm_secondary_heavy	636.478210 2682.294922 -994.387817	2.152 -19.911 -87.212
weapon_jm_secondary_heavy	-721.531494 2045.648926 -979.135132	2.227 -18.491 -84.240
weapon_jm_secondary_heavy	721.350830 2045.934448 -979.127319	2.760 -18.586 -84.067
weapon_jm_grenade_push	-90.381042 1759.385010 -731.539734	-1.852 -1.448 -1.012
item_jm_ammo_light	-538.622192 1464.180054 -845.329712	0.452 0.049 0.029
item_jm_ammo_light	-537.764771 1426.000610 -845.348816	0.446 0.051 0.035
item_jm_ammo_light	-617.545410 1396.792725 -995.299255	0.429 0.059 0.044
item_jm_ammo_light	-649.424683 1425.303223 -995.281799	0.435 0.057 0.038
item_jm_ammo_light	551.157776 2642.249268 -845.661133	0.436 0.059 0.046
item_jm_ammo_light	552.610229 2686.904053 -845.604858	0.454 0.049 0.026
item_jm_ammo_light	619.739868 2696.427979 -995.156982	0.422 0.068 0.050
item_jm_ammo_light	658.412537 2675.811768 -995.131226	0.431 0.059 0.041
item_jm_ammo_light	-739.211609 2011.296997 -979.646179	0.445 0.055 0.043
item_jm_ammo_light	-743.125854 2080.796631 -979.689697	0.432 0.068 0.059
item_jm_ammo_light	734.135864 2078.595215 -979.689697	0.432 0.068 0.059
item_jm_ammo_light	737.043762 2006.047974 -979.653442	0.443 0.057 0.046
item_jm_ammo_light	-337.693085 1311.073853 -1115.383179	0.440 0.060 0.049
item_jm_ammo_light	338.636963 2775.802734 -1115.367920	0.444 0.141 0.043
item_jm_ammo_light	437.358063 1059.731079 -659.376221	0.441 0.057 0.047
item_jm_ammo_light	-434.451996 2983.466553 -659.356689	0.447 0.054 0.040
item_jm_ammo_heavy	-538.213501 1443.911743 -845.334167	-0.751 -0.005 0.680
item_jm_ammo_heavy	-632.969543 1413.194214 -995.246704	0.687 -0.015 -0.455
item_jm_ammo_heavy	552.956665 2664.652832 -845.564575	0.610 -0.007 0.530
item_jm_ammo_heavy	644.026550 2690.267334 -993.822632	8.592 -1.678 -9.038
item_jm_ammo_heavy	-739.958740 2045.689209 -979.571960	0.711 0.004 0.546
item_jm_ammo_heavy	733.065674 2047.056396 -978.268860	21.919 -4.450 -0.291
item_jm_ammo_heavy	985.561829 1802.883545 -1115.348633	-0.754 -0.113 -0.544
item_jm_ammo_heavy	966.934509 1800.821167 -1115.265625	0.489 -0.007 0.377
item_jm_ammo_heavy	-983.988708 2305.545410 -1115.335938	0.763 0.000 0.682
item_jm_ammo_heavy	-966.523621 2308.174316 -1115.311035	1.025 0.010 0.856
item_jm_ammo_heavy	415.440674 1106.119141 -659.333252	-0.962 -0.009 0.853
item_jm_ammo_heavy	434.735687 1105.405884 -659.312195	-0.957 -0.014 0.794
item_jm_ammo_heavy	-415.943665 3044.250977 -659.333130	-1.131 -0.012 0.992
item_jm_ammo_heavy	-430.879150 3043.132324 -659.375061	0.595 0.004 -0.477
item_jm_ammo_heavy	-140.287506 2343.110107 -731.305542	-0.832 -0.009 0.691
item_jm_ammo_heavy	-120.371399 2345.058105 -731.296631	-0.752 -0.004 0.623
item_jm_ammo_heavy	153.928757 1754.445313 -731.248291	-0.319 0.009 0.279
item_jm_ammo_heavy	151.998154 1770.967285 -731.291260	-0.729 -0.005 0.609
weapon_jm_primary_smg	-626.580261 1485.510132 -843.810242	0.540 6.305 -90.698
weapon_jm_primary_smg	638.234863 2609.532959 -844.623840	0.289 6.165 -87.292
weapon_jm_primary_smg	274.435089 2788.218506 -1114.670166	0.636 0.765 -86.366
weapon_jm_primary_smg	-282.445984 1306.436646 -1114.625732	0.283 6.176 -87.245
weapon_jm_primary_smg	122.620781 2335.445313 -730.747681	0.205 5.905 -86.474
weapon_jm_grenade_smoke	-544.259338 1415.408447 -845.542847	-1.966 -1.430 -1.075
weapon_jm_grenade_smoke	-555.698120 1415.549194 -845.554443	-2.391 -1.323 -1.308
weapon_jm_grenade_smoke	-632.903198 1397.868774 -995.470642	-0.808 -1.791 -0.948
weapon_jm_grenade_smoke	562.644592 2653.827393 -845.825500	-2.026 -1.422 -1.108
weapon_jm_grenade_smoke	561.734314 2677.095459 -845.805969	-1.311 -1.491 -0.717
weapon_jm_grenade_smoke	629.538635 2689.100830 -995.318237	-0.897 -1.756 -1.053
weapon_jm_grenade_smoke	-732.235718 2062.732178 -979.818542	-1.770 -1.448 -0.968
weapon_jm_grenade_smoke	-731.390442 2025.277222 -979.820740	-1.852 -1.448 -1.012
weapon_jm_grenade_smoke	726.772766 2024.875732 -979.835449	-2.391 -1.322 -1.308
weapon_jm_grenade_smoke	723.479858 2065.926025 -979.828918	-2.152 -1.401 -1.177
weapon_jm_grenade_smoke	272.936432 2777.337646 -1115.548218	-2.778 -0.327 -0.752
weapon_jm_grenade_smoke	213.246902 2779.617676 -1115.542480	-2.500 -0.334 -0.677
weapon_jm_grenade_smoke	-243.500671 1319.961548 -1115.547119	-2.088 -1.401 -1.142
weapon_jm_grenade_smoke	-257.243011 1322.116699 -1115.553467	-2.320 -1.370 -1.268
weapon_jm_grenade_smoke	48.004608 2031.734375 -1111.851685	-0.815 -1.671 -1.245
weapon_jm_grenade_smoke	-52.073620 2064.128906 -1111.866333	-0.961 -1.567 -1.469
weapon_jm_grenade_smoke	82.415154 2346.939453 -731.549744	-2.218 -1.361 -1.213
weapon_jm_grenade_smoke	83.967812 2328.870361 -731.553467	-2.356 -1.358 -1.288
weapon_jm_primary_lmg	968.701538 1908.326294 -1117.911499	18.634 -0.367 2.992
weapon_jm_primary_lmg	-968.774963 2189.741943 -1117.911499	18.634 -1.170 2.992
weapon_jm_primary_lmg	87.832100 1764.430420 -733.910522	18.634 0.030 2.992
weapon_jm_primary_rifle	-182.689484 1315.088257 -1114.879028	0.202 11.252 -86.986
weapon_jm_primary_rifle	165.691360 2785.208252 -1114.818237	0.118 11.316 -87.657
weapon_jm_primary_rifle	-985.095825 1785.393921 -1114.873657	0.195 18.309 -87.045
weapon_jm_primary_rifle	-985.013367 1886.963989 -1114.816406	-0.152 17.340 -89.077
weapon_jm_primary_rifle	980.914246 2169.281982 -1114.839844	-0.046 13.001 -87.665
weapon_jm_primary_rifle	987.691223 2308.706787 -1114.815063	0.122 12.175 -87.800
weapon_jm_primary_rifle	-120.333374 1763.695068 -730.843628	0.154 11.253 -87.365
