# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_shark_tank
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	1993.861450 -485.769775 -154.875244	2.219 -18.440 -84.024
weapon_jm_secondary_heavy	-1552.121948 1495.059570 -154.865982	2.223 -18.473 -84.119
weapon_jm_secondary_heavy	-1551.000610 -1496.449463 -154.854141	2.227 -18.491 -84.240
weapon_jm_secondary_heavy	-1774.975342 -199.800049 68.967308	2.224 -18.472 -84.155
weapon_jm_grenade_tag	-814.855408 -1003.227783 36.458992	-1.908 -1.428 -1.043
weapon_jm_grenade_tag	-820.775024 1004.054688 36.452335	-2.152 -1.401 -1.177
weapon_jm_grenade_jump	1001.776733 829.079407 36.443832	-2.464 -1.325 -1.348
weapon_jm_grenade_jump	1000.594971 -829.889526 36.443832	-2.464 -1.325 -1.348
weapon_jm_grenade_jump	-273.653595 -1.629812 192.161530	-2.502 -1.323 -1.368
weapon_jm_grenade_jump	275.678925 3.940754 192.162552	-2.464 -1.325 -1.348
weapon_jm_grenade_jump	-1791.499146 -194.679550 68.279137	-2.252 -1.362 -1.231
weapon_jm_primary_smg	1144.586426 -2.733106 -154.625381	0.305 6.174 -87.272
weapon_jm_primary_smg	837.896545 -1010.447510 37.374176	0.332 6.196 -87.304
weapon_jm_primary_smg	844.337097 997.180176 37.375607	0.280 6.176 -87.240
weapon_jm_primary_smg	-1081.036865 -191.312302 -154.624695	0.281 6.176 -87.242
weapon_jm_grenade_glue	1545.021484 1490.210449 -150.252335	0.041 -0.000 -0.024
weapon_jm_grenade_glue	1549.407715 -1489.397339 -150.300247	-0.057 0.000 -0.033
weapon_jm_grenade_glue	-2010.783447 468.598480 -150.283218	-0.051 0.000 -0.030
weapon_jm_primary_lmg	2112.880859 92.946793 -157.910553	18.634 -0.369 2.992
weapon_jm_primary_rifle	393.005554 1493.091064 -154.840775	-0.048 8.972 -87.650
weapon_jm_primary_rifle	383.308502 -1490.785034 -154.862701	0.181 11.252 -87.155
weapon_jm_primary_rifle	-999.105103 -841.246460 37.150753	0.162 11.252 -87.301
weapon_jm_primary_rifle	-1001.226501 832.648865 37.201260	-0.219 13.714 -88.702
weapon_jm_primary_rifle	-1093.199097 232.898788 -154.835114	0.142 11.253 -87.460
weapon_jm_primary_rifle	-2012.627930 450.829254 -19.148062	0.187 11.252 -87.107
weapon_jm_primary_rifle	-1996.621582 456.482971 67.323463	0.179 11.252 -87.171
weapon_jm_secondary_light	994.899780 855.265747 37.176331	-0.616 34.060 89.918
weapon_jm_secondary_light	1003.033447 -848.598999 37.176510	-0.645 34.057 89.948
weapon_jm_secondary_light	-445.942505 458.161041 -191.823380	36.625 0.393 0.052
weapon_jm_secondary_light	-455.302856 -446.527954 -191.825195	36.650 0.394 0.055
weapon_jm_secondary_light	451.172180 -442.404938 -191.819458	36.572 0.389 0.047
weapon_jm_secondary_light	456.106934 448.763733 -191.831146	36.731 0.399 0.063
weapon_jm_secondary_light	-2018.839600 435.618011 -154.824585	-0.514 34.064 89.813
weapon_jm_secondary_auto	1515.478882 1493.705566 -154.607666	-0.719 25.619 91.396
weapon_jm_secondary_auto	1510.410156 -1491.172241 -154.606674	-0.779 25.609 91.519
weapon_jm_secondary_auto	-848.962402 -1004.505310 37.393600	-0.779 25.609 91.519
