# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_skytown
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-1200.181152 -1448.231323 56.970520	1.916 -20.599 -85.941
weapon_jm_secondary_heavy	-936.775330 -1012.705017 56.970570	1.956 -20.578 -85.871
weapon_jm_secondary_heavy	-937.267212 -1026.783447 56.970444	1.840 -20.646 -86.074
weapon_jm_secondary_heavy	-202.627319 39.166420 56.970470	1.871 -20.628 -86.020
weapon_jm_secondary_heavy	1339.538696 1047.060425 56.970619	2.000 -20.562 -85.795
weapon_jm_secondary_heavy	1112.203247 -166.749878 176.970673	2.048 -20.549 -85.712
weapon_jm_secondary_heavy	606.285583 -1318.254517 96.970467	1.865 -20.628 -86.030
weapon_jm_secondary_heavy	-158.888535 -2685.213135 56.970455	1.859 -20.629 -86.041
weapon_jm_secondary_heavy	-1630.000732 225.953857 192.970444	1.840 -20.646 -86.074
weapon_jm_secondary_heavy	-1150.625610 1257.778442 56.970448	1.846 -20.629 -86.063
weapon_jm_secondary_heavy	-86.405098 -44.698578 -135.029480	1.921 -20.599 -85.932
weapon_jm_secondary_heavy	-1214.964478 1521.294556 216.970566	1.947 -20.587 -85.888
weapon_jm_grenade_push	1238.515137 1509.581055 58.211994	14.225 -26.349 -91.469
weapon_jm_grenade_push	1261.058105 1510.681152 58.109879	15.485 -25.960 -89.527
weapon_jm_grenade_push	1280.701172 1509.648804 58.151154	13.341 -21.969 -90.889
weapon_jm_grenade_push	1311.776001 1511.192993 58.089211	15.734 -25.875 -89.137
weapon_jm_grenade_push	1639.999390 64.350952 58.078449	15.503 -26.081 -89.013
weapon_jm_grenade_push	-2453.678955 -3101.875488 58.156094	14.920 -26.140 -90.403
weapon_jm_grenade_push	-2275.347412 234.589050 58.103218	15.566 -25.934 -89.401
weapon_jm_grenade_push	-2276.358398 224.145279 58.131569	15.222 -26.047 -89.938
weapon_jm_grenade_push	-1363.042358 1502.947754 216.135117	-0.947 -1.604 -1.447
weapon_jm_grenade_push	-1358.887329 1084.822388 216.143311	-0.866 -1.650 -1.322
item_jm_ammo_light	-103.023476 -741.664185 56.357113	0.456 0.062 0.044
item_jm_ammo_light	-102.062988 -700.536621 56.363750	0.457 0.060 0.042
item_jm_ammo_light	103.390503 587.074951 56.314846	0.448 0.075 0.061
item_jm_ammo_light	102.468422 545.330994 56.326157	0.450 0.070 0.057
item_jm_ammo_light	-145.137909 2937.191162 56.334610	0.452 0.066 0.053
item_jm_ammo_light	234.046005 2933.724854 56.351864	0.455 0.062 0.047
item_jm_ammo_light	346.876373 2933.746338 464.355377	0.456 0.062 0.045
item_jm_ammo_light	-285.565277 2931.075195 464.344482	0.453 0.064 0.049
item_jm_ammo_light	1639.845581 105.098320 56.366920	0.458 0.060 0.041
item_jm_ammo_light	1642.450439 -11.373104 56.317177	0.448 0.075 0.060
