# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_skywalk
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	4.392915 1167.675171 -503.029449	1.917 -18.794 -85.940
weapon_jm_secondary_heavy	0.079264 -487.925629 -503.029419	1.942 -18.776 -85.895
weapon_jm_secondary_heavy	0.310125 497.749451 -503.029358	2.000 -18.734 -85.794
weapon_jm_grenade_tag	-41.309055 -579.094055 -503.839417	-1.480 -1.456 -1.507
weapon_jm_grenade_tag	36.244289 -579.263000 -503.835358	-1.394 -1.486 -1.419
weapon_jm_grenade_tag	-44.067841 575.250793 -503.836365	-1.415 -1.487 -1.440
weapon_jm_grenade_tag	37.795738 579.529785 -503.843689	-1.572 -1.414 -1.600
weapon_jm_grenade_jump	865.919495 -1001.125305 -503.850647	-1.720 -1.377 -1.752
weapon_jm_grenade_jump	880.982727 1002.415039 -503.817200	-1.890 -1.143 -0.865
weapon_jm_grenade_jump	-749.580505 1006.064331 -503.847107	-1.644 -1.424 -1.674
weapon_jm_grenade_jump	-752.811951 -1005.787170 -503.832489	-1.333 -1.499 -1.356
weapon_jm_primary_smg	-10.054729 -1105.661011 -502.907043	0.330 6.549 -87.301
weapon_jm_primary_smg	3.172158 1091.475342 -502.906158	0.298 6.552 -87.262
weapon_jm_primary_smg	546.225159 -108.039246 -478.906708	0.317 6.612 -87.286
weapon_jm_primary_smg	518.952881 104.807510 -478.905975	0.291 6.553 -87.254
weapon_jm_primary_smg	-207.105179 -219.004593 -502.901001	0.269 1.732 -87.393
weapon_jm_primary_smg	205.460754 208.479874 -502.975525	0.744 -0.543 -86.296
weapon_jm_grenade_glue	-992.025146 115.292831 -498.563782	-0.049 0.000 -0.028
weapon_jm_grenade_glue	-987.021179 -82.659828 -498.542419	-0.042 0.000 -0.024
weapon_jm_primary_lmg	-2.748077 -1.579938 -386.236176	18.511 -1.157 1.915
weapon_jm_primary_rifle	-737.171265 -992.511414 -503.094238	-0.220 14.731 -89.001
weapon_jm_primary_rifle	859.262573 -990.110474 -503.136261	0.173 11.848 -87.255
weapon_jm_primary_rifle	860.278564 989.708984 -503.114655	0.142 11.848 -87.489
weapon_jm_primary_rifle	-736.450806 992.054382 -503.128754	0.162 11.848 -87.336
weapon_jm_secondary_light	-52.056385 1165.817139 -503.823364	36.514 0.409 0.077
weapon_jm_secondary_light	-37.482666 1166.536133 -503.819427	36.471 0.405 0.069
weapon_jm_secondary_light	-20.275620 1166.351196 -503.828400	36.568 0.415 0.087
weapon_jm_secondary_light	48.877239 1166.558594 -503.839630	36.688 0.429 0.109
weapon_jm_secondary_light	36.538078 1166.082397 -503.828400	36.568 0.415 0.087
weapon_jm_secondary_light	24.570168 1166.301392 -503.836365	36.653 0.425 0.103
weapon_jm_secondary_light	-21.006645 -1161.761353 -503.837982	36.671 0.427 0.106
weapon_jm_secondary_light	-35.629669 -1163.475220 -503.828400	36.568 0.415 0.087
weapon_jm_secondary_light	-54.132484 -1161.596680 -503.826416	36.547 0.413 0.083
weapon_jm_secondary_light	27.255505 -1165.910278 -503.810242	36.373 0.394 0.051
weapon_jm_secondary_light	49.985229 -1166.114014 -503.836365	36.653 0.425 0.103
weapon_jm_secondary_light	73.209396 -1166.717041 -503.818909	36.466 0.404 0.068
weapon_jm_secondary_auto	-1.932684 -1161.050537 -502.888519	-0.745 25.838 91.419
weapon_jm_primary_sniper	1081.225464 0.530719 -504.812988	3.487 13.527 65.678
weapon_jm_primary_sniper	-4.236852 -1018.475586 -376.887360	3.692 12.658 65.596
weapon_jm_primary_sniper	5.332941 1027.423096 -376.879211	3.670 12.652 65.605
weapon_jm_primary_shotgun	-957.250122 -101.729942 -502.507751	-0.448 -9.742 -89.532
weapon_jm_primary_shotgun	-957.544067 114.802101 -502.513519	-0.415 -9.748 -89.597
weapon_jm_primary_shotgun	201.944641 -228.082077 -502.519653	-0.379 -10.154 -89.667
weapon_jm_primary_shotgun	-209.760651 193.616486 -502.511841	-0.425 -9.751 -89.578
weapon_jm_grenade_frag	488.987305 112.840378 -477.882904	-36.073 -49.905 -90.506
weapon_jm_grenade_frag	512.139038 -111.051895 -477.837280	-36.770 -49.231 -91.594
weapon_jm_grenade_health	6.393692 1120.491333 -503.624359	-0.035 -0.000 0.083
weapon_jm_grenade_health	-2.803972 -1119.389648 -503.603394	-0.028 -0.000 0.071
ent_jm_carepackage_spawn	-181.327759 -1255.568604 -503.633698	0.001 0.000 0.000
ent_jm_carepackage_spawn	-26.132467 -1247.188721 -503.608154	0.003 0.000 0.002
ent_jm_carepackage_spawn	108.896477 -1262.273071 -503.667694	0.001 0.000 -0.001
ent_jm_carepackage_spawn	340.295807 -1152.836914 -503.653168	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-329.059753 -1127.479736 -503.671600	-0.020 -0.022 0.027
ent_jm_carepackage_spawn	-67.061218 -1093.103638 -503.582153	0.011 -0.000 0.010
ent_jm_carepackage_spawn	67.326698 -1076.310669 -503.633698	0.001 0.000 0.000
ent_jm_carepackage_spawn	226.291977 -984.375427 -503.662689	0.001 0.000 -0.000
ent_jm_carepackage_spawn	12.900277 -906.342651 -503.626221	0.008 0.009 -0.002
ent_jm_carepackage_spawn	-208.904404 -973.850342 -503.595795	0.005 0.000 0.004
ent_jm_carepackage_spawn	-353.979828 -942.616638 -503.592896	0.006 0.000 0.005
ent_jm_carepackage_spawn	-695.901611 -930.451660 -503.657837	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-702.918396 -800.257141 -503.623962	0.002 0.000 0.001
ent_jm_carepackage_spawn	-703.454590 -695.382813 -503.595795	0.005 0.000 0.004
ent_jm_carepackage_spawn	-720.694763 -418.797882 -503.613190	0.002 0.000 0.001
ent_jm_carepackage_spawn	-705.362854 -208.615723 -503.662689	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-902.632935 -127.005013 -503.617371	0.113 -0.033 0.022
ent_jm_carepackage_spawn	-886.657715 121.019394 -503.644989	-0.016 0.014 -0.026
ent_jm_carepackage_spawn	-726.990051 205.230591 -503.608154	0.003 0.000 0.002
ent_jm_carepackage_spawn	-703.181946 338.595734 -503.635712	0.001 0.000 0.000
ent_jm_carepackage_spawn	-712.093323 705.419067 -503.597260	0.005 0.000 0.004
ent_jm_carepackage_spawn	-691.166687 927.396912 -503.644165	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-254.679031 976.090027 -503.608398	-0.020 -0.002 0.015
ent_jm_carepackage_spawn	59.921555 1075.196167 -503.650848	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-76.311684 1078.600342 -503.631683	0.001 0.000 0.000
ent_jm_carepackage_spawn	-175.626144 952.099121 -503.650848	0.001 0.000 -0.000
ent_jm_carepackage_spawn	190.453964 965.817810 -503.595795	0.005 0.000 0.004
ent_jm_carepackage_spawn	299.201569 1201.660278 -503.653168	0.001 0.000 -0.000
ent_jm_carepackage_spawn	127.984268 1286.308350 -503.618439	0.002 0.000 0.001
ent_jm_carepackage_spawn	-41.217823 1284.326050 -503.631683	0.001 0.000 0.000
ent_jm_carepackage_spawn	-182.073792 1264.911987 -503.641998	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-339.493988 1163.030518 -503.655487	0.001 0.000 -0.000
ent_jm_carepackage_spawn	372.558838 964.334045 -503.591217	-0.026 -0.085 0.117
ent_jm_carepackage_spawn	542.255127 982.837097 -503.570160	0.024 -0.000 0.023
ent_jm_carepackage_spawn	801.769348 944.513367 -503.627747	0.002 0.000 0.000
ent_jm_carepackage_spawn	834.642273 802.931030 -503.648590	0.001 0.000 -0.000
ent_jm_carepackage_spawn	828.451965 441.518555 -503.639893	0.001 0.000 -0.000
ent_jm_carepackage_spawn	830.587158 199.512756 -503.630280	-0.019 0.013 -0.017
ent_jm_carepackage_spawn	949.212524 184.291733 -503.581848	-0.006 0.009 -0.006
ent_jm_carepackage_spawn	909.513245 2.377219 -503.631683	0.001 0.000 0.000
ent_jm_carepackage_spawn	762.893677 -3.826268 -503.680817	0.001 0.000 -0.001
ent_jm_carepackage_spawn	974.019165 -194.126068 -503.650848	0.001 0.000 -0.000
ent_jm_carepackage_spawn	821.445313 -221.262955 -503.629700	0.001 0.000 0.000
ent_jm_carepackage_spawn	1015.903809 2.912680 -503.584839	-0.022 -0.042 0.137
ent_jm_carepackage_spawn	566.516785 -14.582927 -503.629700	0.001 0.000 0.000
ent_jm_carepackage_spawn	425.375336 -24.785131 -503.623962	0.002 0.000 0.001
ent_jm_carepackage_spawn	157.586624 -146.449387 -503.604950	0.003 0.000 0.002
ent_jm_carepackage_spawn	169.962357 -29.848747 -503.609802	0.003 0.000 0.002
ent_jm_carepackage_spawn	154.462585 132.585983 -503.606537	0.003 0.000 0.002
ent_jm_carepackage_spawn	-6.697563 157.816345 -503.598755	0.004 0.000 0.003
ent_jm_carepackage_spawn	-190.194382 118.534653 -503.670227	0.001 0.000 -0.001
ent_jm_carepackage_spawn	-188.476456 15.837508 -503.650848	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-135.730911 -137.932602 -503.657867	0.001 0.000 -0.000
ent_jm_carepackage_spawn	47.289074 -159.400803 -503.552826	0.086 -0.000 0.085
ent_jm_carepackage_spawn	-309.321350 -7.627038 -503.618469	0.002 0.000 0.001
ent_jm_carepackage_spawn	-726.585938 -9.406412 -503.620270	0.002 0.000 0.001
ent_jm_carepackage_spawn	2.226984 389.549713 -503.606537	0.003 0.000 0.002
ent_jm_carepackage_spawn	2.283891 819.004639 -503.611481	0.003 0.000 0.001
ent_jm_carepackage_spawn	3.044515 -313.192688 -503.667694	0.001 0.000 -0.001
ent_jm_carepackage_spawn	4.530857 -423.590942 -503.561340	0.046 -0.000 0.046
ent_jm_carepackage_spawn	5.960710 -708.852417 -503.613220	0.002 0.000 0.001
ent_jm_carepackage_spawn	6.959705 -829.632690 -503.616669	0.002 0.000 0.001
ent_jm_carepackage_spawn	2.526134 447.141541 -503.633667	0.001 0.000 0.000
ent_jm_carepackage_spawn	-0.794448 765.705811 -503.653137	0.001 0.000 -0.000
ent_jm_carepackage_spawn	-6.539514 946.665894 -503.623962	0.002 0.000 0.001
ent_jm_carepackage_spawn	369.552826 -968.905762 -503.644165	0.001 0.000 -0.000
ent_jm_carepackage_spawn	717.648804 -987.803833 -503.650848	0.001 0.000 -0.000
ent_jm_carepackage_spawn	830.611206 -837.010742 -503.655487	0.001 0.000 -0.000
ent_jm_carepackage_spawn	846.144592 -687.913513 -503.644165	0.001 0.000 -0.000
ent_jm_carepackage_spawn	836.978638 -452.493011 -503.667694	0.001 0.000 -0.001
ent_jm_carepackage_spawn	834.307129 -294.270264 -503.604919	0.003 0.000 0.002
