# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_snowfield
# Exported by: Seb
setting:	replacespawns 0
weapon_jm_secondary_heavy	228.721756 166.936478 357.128540	2.221 -18.438 -84.063
weapon_jm_secondary_heavy	222.952713 131.118927 221.116821	2.216 -18.398 -83.943
weapon_jm_secondary_heavy	793.062134 742.642578 45.123047	2.219 -18.436 -84.004
weapon_jm_secondary_heavy	-941.169067 993.322937 166.899811	2.219 -18.436 -84.004
weapon_jm_secondary_heavy	-774.473755 408.323212 30.195585	1.120 -18.077 -83.493
weapon_jm_secondary_heavy	-237.944717 -1009.343079 0.970164	1.635 -22.150 -86.429
weapon_jm_grenade_tag	-934.436096 34.854897 356.452942	-2.120 -1.402 -1.159
weapon_jm_grenade_tag	320.943634 14.711155 184.147110	-0.828 -1.649 -1.264
weapon_jm_grenade_tag	999.183716 -946.904053 44.453182	-2.120 -1.402 -1.159
weapon_jm_grenade_tag	1010.490295 -9.921950 0.131939	-1.227 -1.155 -0.701
weapon_jm_grenade_tag	995.404663 314.369873 0.134847	-1.191 -1.184 -0.680
weapon_jm_grenade_tag	-950.026245 977.731873 166.236481	-1.880 -1.442 -1.028
weapon_jm_grenade_tag	-797.219238 -170.228470 0.154068	-0.951 -1.268 -0.544
weapon_jm_grenade_tag	-519.661377 2.411782 320.160828	-0.692 -1.712 -1.055
weapon_jm_grenade_tag	-801.727356 -733.915649 44.451416	-2.185 -1.389 -1.195
weapon_jm_grenade_tag	-735.096130 -788.721863 44.452305	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	859.806274 731.789185 44.451408	-2.185 -1.389 -1.195
weapon_jm_grenade_tag	736.424072 818.553772 44.456547	-1.996 -1.430 -1.091
weapon_jm_grenade_tag	-260.230286 -1002.504944 0.159566	-0.883 -1.287 -0.504
weapon_jm_grenade_tag	194.681808 -975.850342 0.127410	-1.283 -1.154 -0.733
weapon_jm_grenade_jump	226.410522 227.861130 356.452942	-2.120 -1.402 -1.159
weapon_jm_grenade_jump	-223.737701 -160.723495 356.452057	-2.152 -1.401 -1.177
weapon_jm_grenade_jump	860.235840 -123.158615 345.620514	-2.320 -1.370 -1.269
weapon_jm_grenade_jump	-46.312138 735.033508 87.984024	-0.964 -1.724 -1.140
weapon_jm_grenade_jump	-9.897009 710.946411 156.397964	-1.596 -1.415 -1.625
weapon_jm_primary_smg	-798.256470 26.834059 37.374905	0.304 6.174 -87.270
weapon_jm_primary_smg	-125.481331 -1.923983 223.619446	-7.685 0.449 -1.221
weapon_jm_primary_smg	999.624146 -899.857422 45.375065	0.298 6.174 -87.263
weapon_jm_primary_smg	823.946289 738.254150 45.375053	0.298 6.174 -87.263
weapon_jm_primary_smg	166.471725 98.005951 85.374786	0.310 6.176 -87.277
weapon_jm_primary_smg	278.963135 -20.977358 85.375298	0.292 6.175 -87.255
weapon_jm_primary_smg	-737.215881 -836.816284 45.375023	0.300 6.174 -87.264
weapon_jm_grenade_glue	-37.700832 7.339201 589.445129	-0.046 0.000 -0.027
weapon_jm_grenade_glue	215.425858 147.639740 225.747742	-0.041 0.000 -0.023
weapon_jm_grenade_glue	13.737312 951.902161 49.751610	-0.040 0.000 -0.022
weapon_jm_grenade_glue	-228.997223 -28.057310 53.419193	-0.054 0.000 -0.031
