# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_space_station
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	162.758911 1062.399414 352.837830	2.217 -18.398 -83.964
weapon_jm_secondary_heavy	-1201.671021 -40.408054 352.847534	2.221 -18.438 -84.063
weapon_jm_secondary_heavy	-1142.547729 1064.523804 352.864838	2.227 -18.491 -84.240
weapon_jm_grenade_tag	831.891418 1434.310181 353.968872	-0.654 -2.940 0.076
weapon_jm_grenade_tag	-863.576233 1506.209229 351.266235	0.009 0.430 -0.459
weapon_jm_grenade_tag	-1055.938721 1647.398071 351.270386	-0.266 -1.767 -0.339
weapon_jm_grenade_tag	-1846.251709 -287.899231 352.163544	-2.428 -1.323 -1.327
weapon_jm_grenade_tag	-1862.382324 -290.557922 352.153961	-2.780 -1.170 -1.520
weapon_jm_grenade_jump	-2626.228516 530.278809 320.152832	-2.822 -1.186 -1.544
weapon_jm_grenade_jump	-2627.604492 491.387787 320.182922	-1.717 -1.464 -0.939
weapon_jm_grenade_jump	-1118.737427 -35.221428 352.170166	-2.185 -1.389 -1.194
weapon_jm_primary_smg	990.238037 872.344238 353.093781	0.300 6.174 -87.264
weapon_jm_primary_smg	941.513367 874.083435 353.096344	0.208 4.675 -87.152
weapon_jm_primary_smg	-2129.737305 -80.864235 449.096344	0.208 6.191 -87.152
weapon_jm_grenade_glue	97.702248 1069.111816 357.447266	-0.046 0.000 -0.026
weapon_jm_grenade_glue	-1406.973633 1657.444946 365.760132	-0.156 0.000 -0.091
weapon_jm_grenade_glue	-1118.381714 -647.365784 365.408691	-0.058 0.000 -0.034
weapon_jm_primary_lmg	-2626.612061 513.876770 317.808472	18.634 -0.369 2.992
weapon_jm_primary_rifle	726.783997 879.130310 352.909912	0.106 11.254 -87.747
weapon_jm_primary_rifle	683.367798 870.817505 352.860443	0.175 11.252 -87.201
weapon_jm_secondary_light	1062.718384 1431.266113 352.174805	36.650 0.394 0.055
weapon_jm_secondary_light	1107.368652 1430.843750 352.168854	36.731 0.399 0.063
weapon_jm_secondary_light	601.848450 1433.180176 352.167389	36.750 0.400 0.065
weapon_jm_secondary_light	546.772339 1435.867065 352.181061	36.565 0.389 0.046
weapon_jm_secondary_light	1087.650513 1429.917114 352.171600	36.693 0.397 0.059
weapon_jm_secondary_light	575.330017 1441.891968 352.169556	36.721 0.399 0.062
weapon_jm_secondary_light	131.719528 1061.482666 352.182098	36.550 0.388 0.045
weapon_jm_secondary_light	94.173958 -40.450016 352.170227	36.712 0.398 0.061
weapon_jm_secondary_light	-1164.713501 -35.980492 352.168121	36.741 0.400 0.064
weapon_jm_secondary_light	-1107.399902 1063.556396 352.172913	36.676 0.396 0.057
weapon_jm_secondary_light	-1812.759155 -286.385254 352.182098	36.550 0.388 0.045
weapon_jm_secondary_light	-1835.904175 -287.239105 352.182617	36.544 0.388 0.044
weapon_jm_secondary_light	-1878.880249 -287.310699 352.168121	36.741 0.400 0.064
weapon_jm_secondary_light	-1907.091797 -287.303772 352.181061	36.565 0.389 0.046
weapon_jm_secondary_auto	128.500748 -37.756035 353.110657	-0.680 25.626 91.315
weapon_jm_primary_sniper	1109.187988 871.419861 351.077606	3.711 13.300 64.746
weapon_jm_primary_sniper	1060.351685 888.002686 351.118988	3.615 13.251 64.985
weapon_jm_primary_shotgun	599.182800 858.785156 353.424408	-0.487 -9.620 -88.776
weapon_jm_primary_shotgun	556.597595 878.897339 353.443481	-0.493 -9.616 -88.929
weapon_jm_primary_shotgun	-2121.538818 1404.298706 321.464478	-0.499 -9.546 -89.097
