# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_specific_ocean
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	1189.512939 -1503.212036 165.142609	2.226 -18.490 -84.207
weapon_jm_secondary_heavy	-93.625801 754.141541 101.208755	2.251 -18.501 -84.883
weapon_jm_secondary_heavy	-101.356911 -823.957275 8.970539	1.932 -20.588 -85.914
weapon_jm_secondary_heavy	-210.671310 -1436.498535 45.195084	2.246 -18.497 -84.743
weapon_jm_secondary_heavy	-666.066345 212.650604 101.187828	2.243 -18.495 -84.668
weapon_jm_secondary_heavy	-663.960083 -211.374725 101.181091	2.236 -18.438 -84.607
weapon_jm_secondary_heavy	1827.561890 1445.387329 -15.029617	1.803 -20.350 -86.138
weapon_jm_secondary_heavy	702.233765 4.933885 264.903595	2.248 -18.242 -84.627
item_jm_ammo_light	-1444.197510 1319.831421 372.694885	0.462 0.049 0.021
item_jm_ammo_light	-1049.213013 1370.903809 44.613979	0.438 0.060 0.050
item_jm_ammo_light	1748.406860 1722.224976 52.589149	0.431 0.075 0.060
item_jm_ammo_light	1652.667969 1720.589233 52.664165	0.453 0.051 0.032
item_jm_ammo_light	1438.411133 -1277.757080 164.643280	0.447 0.054 0.040
item_jm_ammo_light	89.133858 690.130432 100.692268	-0.690 8.231 -0.000
item_jm_ammo_light	26.906244 788.862915 204.643280	0.447 0.054 0.040
item_jm_ammo_light	151.410370 -1431.826416 44.633251	0.444 0.055 0.043
item_jm_ammo_light	69.759743 840.189270 8.344484	0.453 0.064 0.049
item_jm_ammo_light	-69.334106 842.114807 8.353639	0.455 0.062 0.046
item_jm_ammo_light	-663.271240 212.887314 64.370628	0.470 -0.127 -0.036
item_jm_ammo_light	-660.986816 -216.002411 64.463493	0.425 -0.905 -0.057
item_jm_ammo_light	-1583.613525 -1636.661011 57.008091	0.439 0.060 0.050
item_jm_ammo_light	-1667.975464 -1328.135132 57.014095	0.441 0.060 0.047
item_jm_ammo_light	664.316467 -286.435242 100.693451	0.461 0.049 0.021
item_jm_ammo_light	741.022888 275.779877 100.636841	0.445 0.055 0.042
item_jm_ammo_light	-177.516754 -155.416870 64.385353	0.461 0.057 0.033
item_jm_ammo_light	179.282867 155.099579 64.358810	0.456 0.062 0.044
item_jm_ammo_heavy	-1442.043945 1269.692261 372.776855	-0.138 -0.003 0.114
item_jm_ammo_heavy	1706.004028 1726.515137 52.721619	-0.603 -0.005 0.480
item_jm_ammo_heavy	1203.312012 -1510.225586 164.624939	0.599 0.004 -0.480
item_jm_ammo_heavy	1388.709839 -1263.756470 164.658081	0.329 0.003 -0.189
item_jm_ammo_heavy	-96.826431 740.654053 100.696625	-0.810 -0.007 0.671
item_jm_ammo_heavy	99.575439 728.276550 100.687828	-0.961 -0.014 0.799
item_jm_ammo_heavy	-2.920770 791.397888 204.735565	-0.857 -2.912 0.067
item_jm_ammo_heavy	-119.912163 -805.183105 8.462144	-0.396 -0.006 0.351
item_jm_ammo_heavy	-229.742523 -1439.177979 44.680084	1.055 0.004 0.904
item_jm_ammo_heavy	-671.812012 227.002945 100.730347	0.627 0.006 0.522
item_jm_ammo_heavy	-664.389282 -224.538803 100.734650	-0.452 0.008 0.395
item_jm_ammo_heavy	-1518.775024 -1597.294556 57.055157	-0.304 0.002 0.322
item_jm_ammo_heavy	736.767212 -287.869537 100.733490	0.509 -0.007 0.390
item_jm_ammo_heavy	669.567383 290.601501 100.707680	-0.717 -0.003 0.594
item_jm_ammo_heavy	704.027405 -7.904489 264.334961	0.388 0.004 -0.303
weapon_jm_primary_smg	1588.727783 1711.851074 53.227787	0.579 8.334 -85.735
weapon_jm_primary_smg	1251.010010 -1505.825806 165.285324	0.685 5.048 -85.999
weapon_jm_primary_smg	-91.969353 672.309448 101.376060	0.265 5.056 -87.221
weapon_jm_primary_smg	223.462738 -1451.466919 45.376728	0.247 5.797 -87.209
weapon_jm_primary_smg	-1725.172852 -1370.151489 59.447514	0.934 5.349 -98.121
weapon_jm_grenade_smoke	1730.320923 1724.030884 52.445839	-2.391 -1.323 -1.308
weapon_jm_grenade_smoke	1627.572510 1728.110840 52.435261	-2.780 -1.170 -1.520
weapon_jm_grenade_smoke	-734.961914 217.674561 100.471146	-3.381 -0.701 0.388
