# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_speed_dating
# Exported by: Seb
setting:	replacespawns 0
weapon_jm_secondary_heavy	-897.645935 2260.084473 128.850403	3.237 -16.532 -83.664
weapon_jm_secondary_heavy	770.149963 2271.484619 128.862518	3.140 -16.556 -83.831
weapon_jm_secondary_heavy	-242.162842 806.000244 37.123062	2.219 -18.436 -84.004
weapon_jm_secondary_heavy	1378.739380 1827.898926 37.128666	2.270 -22.010 -84.974
weapon_jm_secondary_heavy	-914.587280 -66.440987 37.137775	2.224 -18.472 -84.155
weapon_jm_secondary_heavy	-1513.876343 1918.004883 22.712992	2.314 -19.385 -85.170
weapon_jm_secondary_heavy	487.513916 -289.197876 37.130630	2.221 -18.466 -84.082
weapon_jm_grenade_tag	-895.395203 1878.305176 128.160675	-2.244 -1.302 -1.615
weapon_jm_grenade_tag	779.076111 1892.726563 128.168503	-1.989 -1.378 -1.431
weapon_jm_grenade_tag	215.677704 1704.936279 36.445797	-2.391 -1.323 -1.308
weapon_jm_grenade_tag	-315.135590 1702.584473 36.440708	-2.578 -1.238 -1.410
weapon_jm_grenade_tag	-268.075836 1217.362305 36.463448	-1.744 -1.459 -0.953
weapon_jm_grenade_tag	-316.559418 307.884369 36.446774	-2.356 -1.358 -1.288
weapon_jm_grenade_tag	-375.989838 356.917999 36.410057	-0.323 -0.586 0.021
weapon_jm_grenade_tag	1441.224365 1006.738037 36.453182	-2.120 -1.402 -1.159
weapon_jm_grenade_tag	1579.247192 1004.052795 36.470089	-1.500 -1.481 -0.820
weapon_jm_grenade_tag	953.040405 2014.602905 40.323975	-1.725 -0.500 -0.025
weapon_jm_grenade_tag	-911.714111 -26.725138 36.452305	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	-1257.545166 -32.371220 36.443794	-2.464 -1.325 -1.348
weapon_jm_grenade_tag	-1564.437378 978.349854 37.870796	21.288 -39.465 -89.244
weapon_jm_grenade_tag	-1697.381470 971.252380 36.510933	0.006 1.601 -0.015
weapon_jm_grenade_tag	-371.477783 1675.446411 36.450523	-2.218 -1.361 -1.213
weapon_jm_grenade_tag	475.660431 -281.963074 36.452301	-2.152 -1.401 -1.177
weapon_jm_grenade_tag	634.119995 -269.557343 40.478439	-2.340 -1.163 -2.294
weapon_jm_grenade_jump	-66.893913 2998.776123 256.180878	-1.588 -1.441 -1.142
weapon_jm_grenade_jump	-832.916260 2079.845703 276.472229	-1.413 -1.484 -0.772
weapon_jm_grenade_jump	717.390991 2027.659058 276.465973	-1.642 -1.464 -0.898
weapon_jm_grenade_jump	1302.525269 2025.584106 40.367626	-0.812 -1.593 -0.364
weapon_jm_grenade_jump	213.497330 348.693237 36.428047	-0.267 -0.597 0.016
weapon_jm_grenade_jump	271.140137 308.669464 36.398804	-0.357 -0.580 0.024
weapon_jm_grenade_jump	-976.786011 1961.301514 36.456554	-1.996 -1.430 -1.091
weapon_jm_grenade_jump	706.524780 -275.540375 40.524399	-1.088 -1.501 -1.063
weapon_jm_primary_smg	-263.604675 810.399231 37.392315	0.061 -1.324 -87.414
weapon_jm_primary_smg	-246.289444 1217.514771 37.374985	0.301 6.174 -87.266
weapon_jm_primary_smg	1575.544556 978.735657 37.375099	0.297 6.174 -87.261
weapon_jm_primary_smg	277.803040 1682.726440 37.375145	0.296 6.174 -87.260
weapon_jm_primary_smg	156.744980 300.745178 127.494789	-7.448 1.266 -2.052
weapon_jm_primary_smg	218.601761 315.015900 37.375702	0.276 5.054 -87.235
weapon_jm_primary_smg	-245.008408 -53.054878 29.791765	-7.376 1.287 -2.304
weapon_jm_primary_smg	-1684.227661 971.332275 37.309269	0.547 6.535 -87.228
weapon_jm_primary_smg	-381.109650 1700.029175 37.375584	0.280 6.176 -87.240
weapon_jm_primary_smg	538.070374 -96.353851 41.292553	0.145 5.231 -86.264
weapon_jm_grenade_glue	877.898010 166.628403 41.723801	-0.049 0.000 -0.028
weapon_jm_primary_lmg	-384.034515 327.244781 34.089706	18.634 -0.363 2.992
