# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_station
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	1134.495972 3487.940674 421.156525	2.232 -18.490 -84.350
weapon_jm_secondary_heavy	913.597412 -156.120361 421.120850	2.218 -18.429 -83.984
weapon_jm_secondary_heavy	1559.028809 991.922363 101.092644	2.206 -18.322 -83.692
weapon_jm_secondary_heavy	1506.681519 1046.656128 101.110847	2.214 -18.387 -83.878
weapon_jm_secondary_heavy	950.960938 3285.921143 101.125053	2.219 -18.440 -84.024
weapon_jm_grenade_tag	1026.507568 -1242.859863 100.438606	-2.657 -1.239 -1.453
weapon_jm_grenade_tag	1024.479980 4578.212891 100.445847	-2.391 -1.322 -1.308
weapon_jm_grenade_tag	1814.456787 24.244396 100.448723	-2.286 -1.367 -1.250
weapon_jm_grenade_tag	228.530243 3296.124023 100.447777	-2.320 -1.370 -1.269
weapon_jm_grenade_tag	926.270691 3286.174072 100.431740	-2.911 -1.212 -1.590
weapon_jm_grenade_tag	1103.753540 31.544552 100.445847	-2.391 -1.323 -1.308
weapon_jm_grenade_jump	1166.077759 3490.325439 420.444550	-2.428 -1.323 -1.327
weapon_jm_grenade_jump	874.670105 -155.957138 420.451172	-2.185 -1.389 -1.195
weapon_jm_grenade_jump	1097.109985 1662.168579 304.173645	-2.057 -1.402 -1.125
weapon_jm_primary_smg	1682.932861 -1208.478760 101.375191	0.296 6.174 -87.260
weapon_jm_primary_smg	253.731094 2336.403809 101.375038	0.301 6.174 -87.266
weapon_jm_primary_smg	267.102386 2269.759277 101.374657	0.315 6.180 -87.283
weapon_jm_primary_smg	1534.445679 1054.137573 101.374657	0.315 6.180 -87.283
weapon_jm_primary_smg	1782.945190 32.024185 101.376282	0.257 6.168 -87.212
weapon_jm_primary_smg	930.866638 3293.359863 101.374832	0.308 6.177 -87.275
weapon_jm_grenade_glue	1683.683594 -1227.223633 105.783768	-0.035 0.000 -0.007
weapon_jm_grenade_glue	373.938660 -1236.830566 105.758583	-0.038 0.000 -0.021
weapon_jm_grenade_glue	1518.440674 987.589539 105.766670	-0.036 0.000 -0.018
weapon_jm_grenade_glue	241.585846 1049.508667 105.728188	-0.048 0.000 -0.027
weapon_jm_primary_lmg	1064.793701 1659.783081 301.808441	18.634 -0.367 2.992
weapon_jm_primary_rifle	411.962433 -1243.267456 101.143105	0.173 11.252 -87.216
weapon_jm_primary_rifle	366.927124 4573.178711 101.190605	0.107 11.254 -87.740
weapon_jm_primary_rifle	1790.949707 3292.592773 101.148293	0.166 11.252 -87.273
weapon_jm_primary_rifle	1788.888672 2340.050293 101.148460	-0.027 12.754 -87.520
weapon_jm_primary_rifle	270.285553 982.947937 101.122269	0.202 11.252 -86.986
weapon_jm_primary_rifle	1132.515869 31.094687 101.169067	0.137 11.253 -87.502
weapon_jm_secondary_light	1053.547852 -1232.731201 101.176598	-0.654 34.057 89.958
weapon_jm_secondary_light	1035.145874 -1234.644897 101.175911	-0.546 34.063 89.846
weapon_jm_secondary_light	1010.428955 -1237.370972 101.176476	-0.635 34.059 89.938
weapon_jm_secondary_light	985.871521 -1237.256226 101.176125	-0.580 34.062 89.881
weapon_jm_secondary_light	989.256897 4572.060547 101.175858	-0.538 34.064 89.837
weapon_jm_secondary_light	1004.324890 4577.299316 101.175713	-0.514 34.064 89.813
weapon_jm_secondary_light	1042.250610 4576.232910 101.174751	-0.363 34.069 89.657
weapon_jm_secondary_light	1062.262573 4578.249023 101.175476	-0.476 34.065 89.774
weapon_jm_secondary_auto	266.223938 1047.389038 101.393478	-0.770 25.609 91.501
weapon_jm_secondary_auto	276.069702 1005.908325 101.395294	-0.876 25.578 91.721
weapon_jm_secondary_auto	898.718628 -158.566910 421.385345	-0.303 25.642 90.536
weapon_jm_secondary_auto	1122.670288 3491.559326 421.392456	-0.727 25.619 91.412
weapon_jm_secondary_auto	1087.114136 37.851597 101.392235	-0.695 25.625 91.346
weapon_jm_primary_sniper	894.226868 3487.921387 419.391754	3.634 13.261 64.937
