# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_the_thing
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-1636.067871 1283.337036 37.106445	2.212 -18.358 -83.834
weapon_jm_secondary_heavy	-897.930725 1250.449707 37.156811	3.135 -16.816 -83.979
weapon_jm_secondary_heavy	1388.452515 1382.893799 37.125004	2.219 -18.440 -84.024
weapon_jm_secondary_heavy	203.270477 1653.264038 0.970370	1.793 -22.098 -86.155
weapon_jm_grenade_tag	-919.814819 2339.028809 36.443810	-2.464 -1.325 -1.348
weapon_jm_grenade_tag	1442.233398 2337.147217 36.465557	-1.667 -1.464 -0.911
weapon_jm_grenade_tag	-889.445068 1631.599731 36.445789	-2.391 -1.323 -1.308
weapon_jm_grenade_tag	-477.766235 865.507263 36.444809	-2.428 -1.323 -1.328
weapon_jm_grenade_tag	2153.894043 1440.098755 36.448658	-2.286 -1.367 -1.250
weapon_jm_grenade_tag	2135.998535 1438.292358 36.442768	-2.504 -1.323 -1.367
weapon_jm_grenade_tag	187.249435 1691.451782 0.117712	-1.404 -1.044 -0.802
weapon_jm_grenade_jump	2154.233154 1455.817505 36.453171	-2.120 -1.402 -1.159
weapon_jm_grenade_jump	2136.727783 1455.550903 36.443790	-2.464 -1.325 -1.348
weapon_jm_grenade_jump	278.251892 1682.258667 0.137668	-1.155 -1.197 -0.660
weapon_jm_primary_smg	2144.358643 1637.198364 37.374977	0.301 6.174 -87.266
weapon_jm_primary_smg	2147.090576 1596.016479 37.344326	0.193 -0.970 -86.939
weapon_jm_grenade_glue	388.632294 -1978.644531 13.505239	0.024 -0.000 0.020
weapon_jm_grenade_glue	2149.105713 1486.488403 41.740395	-0.044 0.000 -0.025
weapon_jm_grenade_glue	2135.455811 1487.463745 41.730247	-0.047 0.000 -0.027
weapon_jm_grenade_glue	254.512787 1681.638306 5.483916	-0.005 0.000 -0.001
weapon_jm_primary_lmg	385.802521 -1946.361694 5.808448	18.634 -0.366 2.992
weapon_jm_primary_rifle	2146.694580 1341.051025 37.147724	0.167 11.953 -87.275
weapon_jm_primary_rifle	2142.416992 1308.152222 37.138943	0.179 11.252 -87.171
weapon_jm_secondary_light	-916.013306 1248.950806 37.175964	-0.563 34.062 89.863
weapon_jm_secondary_light	-886.816040 2337.803711 37.176872	-0.706 34.055 90.011
weapon_jm_secondary_light	1399.587036 2336.672852 37.176739	-0.685 34.056 89.990
weapon_jm_secondary_light	-922.760254 1635.352417 37.176540	-0.654 34.057 89.958
weapon_jm_secondary_light	-481.897980 823.038818 37.175766	-0.530 34.064 89.829
weapon_jm_secondary_light	916.682495 1379.746582 37.175911	-0.554 34.062 89.855
weapon_jm_secondary_light	1434.846558 1387.555176 37.176731	-0.685 34.056 89.990
