# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_tidal
# Exported by: Seb
setting:	replacespawns 0
weapon_jm_secondary_heavy	-3631.929688 -1054.082886 480.970551	1.947 -18.775 -85.887
weapon_jm_secondary_heavy	-2834.959473 1179.464478 608.970581	1.942 -18.776 -85.895
weapon_jm_secondary_heavy	-2816.770020 -1207.337158 608.970581	1.937 -18.776 -85.904
weapon_jm_secondary_heavy	-1001.677917 -132.772400 840.970581	1.932 -18.777 -85.913
weapon_jm_secondary_heavy	-3292.168945 -133.822067 352.874268	2.120 -40.377 -85.426
weapon_jm_secondary_heavy	-1072.843750 920.225891 968.970703	2.045 -18.713 -85.717
weapon_jm_secondary_heavy	-112.165375 593.284973 992.970581	1.927 -18.776 -85.922
weapon_jm_secondary_heavy	-879.247192 -490.451996 968.970520	1.911 -18.795 -85.949
weapon_jm_secondary_heavy	-1333.404785 -205.860138 992.970642	2.024 -18.723 -85.754
weapon_jm_grenade_tag	-4084.028320 -539.297791 224.160583	-1.480 -1.456 -1.507
weapon_jm_grenade_tag	-4082.433350 520.696106 224.151718	-1.669 -1.412 -1.700
weapon_jm_grenade_tag	-3632.441406 1015.810425 480.160553	-1.480 -1.456 -1.507
weapon_jm_grenade_tag	-3623.748535 -1043.354736 480.154022	-1.620 -1.419 -1.649
weapon_jm_grenade_tag	-2292.649170 -247.960968 736.161560	-1.458 -1.457 -1.484
weapon_jm_grenade_tag	-2291.291748 269.340027 736.136230	-1.999 -1.232 -2.037
weapon_jm_grenade_tag	-3283.657715 491.430634 416.159088	-1.049 -1.634 -1.203
weapon_jm_grenade_tag	-3294.093262 88.672775 352.149323	-1.721 -1.377 -1.752
weapon_jm_grenade_tag	-3283.305420 -151.057205 353.486572	18.714 44.343 -89.331
weapon_jm_grenade_tag	-3295.243408 -546.837708 416.146851	-1.772 -1.379 -1.805
weapon_jm_grenade_jump	-2293.217529 -271.504608 736.192993	-0.789 -1.560 -0.801
weapon_jm_grenade_jump	-2293.280029 244.145660 736.170227	-1.274 -1.504 -1.296
weapon_jm_grenade_jump	-241.332962 -18.519865 1088.171143	-1.255 -1.505 -1.277
weapon_jm_grenade_jump	-499.517914 -945.340881 992.181580	-1.033 -1.541 -1.050
weapon_jm_grenade_jump	-500.245819 913.743835 992.158508	-1.525 -1.456 -1.553
weapon_jm_grenade_jump	-108.601311 526.517395 992.143066	-1.854 -1.283 -1.889
weapon_jm_grenade_jump	-110.233063 -630.817505 992.158508	-1.525 -1.456 -1.553
weapon_jm_primary_smg	-3239.293701 107.924797 737.101257	0.162 6.522 -87.232
weapon_jm_primary_smg	-364.540802 -22.919680 864.786011	0.132 88.530 83.803
weapon_jm_primary_smg	-117.198761 -588.717163 993.064636	0.701 1.115 -87.094
weapon_jm_primary_smg	-1296.484253 454.950562 993.092957	0.330 6.549 -87.301
weapon_jm_primary_smg	-387.678040 183.298676 969.093262	0.319 6.550 -87.288
weapon_jm_primary_smg	-2287.047119 205.314117 736.936218	0.758 8.057 -85.450
weapon_jm_primary_smg	-2287.207031 -307.482727 737.007141	0.736 6.492 -86.086
weapon_jm_primary_smg	-740.272644 454.611176 969.092834	0.333 6.554 -87.306
weapon_jm_primary_smg	-779.921143 -490.453186 969.092834	0.333 6.554 -87.306
weapon_jm_grenade_glue	-5080.583008 -23.855375 215.546783	86.534 -140.366 -160.522
weapon_jm_grenade_glue	-1330.189209 -152.380539 997.472473	-0.038 -0.000 0.022
weapon_jm_primary_lmg	-1326.602783 -178.963608 989.816711	19.330 -13.044 3.024
weapon_jm_primary_rifle	-3233.192627 -143.660873 736.940857	-0.379 16.314 -88.317
weapon_jm_primary_rifle	-1235.013794 -57.557873 864.885376	0.095 9.041 -87.762
weapon_jm_primary_rifle	-110.980713 555.604187 992.921021	0.091 -77.488 -87.870
weapon_jm_primary_rifle	-1298.055664 -491.348877 992.837036	-0.016 3.352 -88.156
weapon_jm_primary_rifle	-835.576233 -344.395844 968.874756	0.157 11.848 -87.374
weapon_jm_primary_rifle	-1049.167236 -948.921082 968.872437	0.160 11.848 -87.349
weapon_jm_primary_rifle	-1029.660278 924.829834 968.833984	0.304 1.815 -87.653
weapon_jm_secondary_light	-4084.428467 -485.461121 224.183609	36.439 0.402 0.063
weapon_jm_secondary_light	-4089.132568 459.747223 224.177216	36.507 0.409 0.076
weapon_jm_secondary_light	-2811.946289 1182.831909 608.168884	36.597 0.419 0.092
weapon_jm_secondary_light	-2833.425537 -1211.471191 608.168884	36.597 0.419 0.092
weapon_jm_secondary_light	-5106.518066 -25.640326 208.866379	-1.033 34.162 90.076
weapon_jm_secondary_light	-1311.402100 104.067764 1281.228394	-2.191 -33.574 -91.366
weapon_jm_secondary_light	-3289.336670 511.646484 416.982849	-0.412 63.827 91.036
weapon_jm_secondary_light	-3286.785645 -519.034790 416.042816	0.099 0.171 1.783
weapon_jm_secondary_light	-1260.786621 458.976715 992.166687	36.620 0.421 0.097
weapon_jm_secondary_light	-572.779968 916.210388 992.173584	36.547 0.413 0.083
weapon_jm_secondary_light	-567.816956 -951.378113 992.173584	36.547 0.413 0.083
weapon_jm_secondary_light	-1265.584595 -490.923309 992.172913	36.553 0.413 0.084
weapon_jm_secondary_auto	-3636.443115 1034.999023 481.108307	-0.644 26.323 91.057
weapon_jm_secondary_auto	-2789.575684 1180.963257 609.108643	-0.568 25.860 91.063
weapon_jm_secondary_auto	-2791.416992 -1204.566895 609.111877	-0.771 25.828 91.471
weapon_jm_secondary_auto	-3289.702148 107.073967 353.050659	0.698 34.864 90.083
weapon_jm_secondary_auto	-879.906555 456.672760 969.110718	-0.696 25.846 91.321
weapon_jm_secondary_auto	-103.462288 -618.072449 992.104248	1.762 5.176 9.431
weapon_jm_secondary_auto	-1127.837646 -941.592896 969.109985	-0.651 25.852 91.231
weapon_jm_primary_sniper	-5095.767578 2.815937 209.097733	0.414 -4.793 -88.414
weapon_jm_primary_sniper	-1319.459839 98.499176 1279.427368	3.597 12.625 65.635
