# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_toilet
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	-533.558167 1247.526855 37.168900	2.236 -18.491 -84.474
weapon_jm_secondary_heavy	-517.189148 1248.047852 37.139492	2.225 -18.487 -84.173
weapon_jm_grenade_tag	-20.339779 1009.521179 0.172075	-1.873 -1.400 -1.348
weapon_jm_grenade_tag	-1009.053040 865.138916 16.028038	-25.250 109.980 58.982
weapon_jm_grenade_tag	-408.128235 442.758789 79.733391	-2.082 -0.916 0.011
weapon_jm_grenade_glue	-522.341980 -416.020752 41.725983	-0.048 0.000 -0.028
weapon_jm_grenade_glue	-613.039368 465.357758 5.436686	-0.056 0.000 -0.033
weapon_jm_secondary_light	-374.808716 508.309998 32.164402	36.791 0.403 0.069
weapon_jm_secondary_light	-373.038483 517.191650 32.170246	36.712 0.398 0.061
weapon_jm_secondary_light	-378.073029 635.942749 32.172264	36.684 0.396 0.058
weapon_jm_secondary_light	-377.689911 643.448242 32.171600	36.693 0.397 0.059
weapon_jm_secondary_light	-376.516724 761.478333 32.184563	36.517 0.386 0.042
weapon_jm_secondary_light	-378.230347 771.537842 32.181602	36.557 0.388 0.046
weapon_jm_secondary_light	-666.760193 773.544434 32.181602	36.557 0.388 0.046
weapon_jm_secondary_light	-665.085693 764.961243 32.196224	36.359 0.377 0.026
weapon_jm_secondary_light	-666.627136 641.180603 32.166676	36.760 0.400 0.066
weapon_jm_secondary_light	-665.563293 633.811035 32.177216	36.617 0.392 0.052
weapon_jm_secondary_light	-665.058044 517.099915 32.169556	36.721 0.398 0.062
weapon_jm_secondary_light	-664.479553 510.874664 32.181084	36.565 0.389 0.046
weapon_jm_secondary_light	-360.203125 31.993696 32.245827	-1.006 33.841 90.321
weapon_jm_secondary_light	-742.691284 -149.576874 32.187744	-0.831 39.413 89.641
weapon_jm_secondary_auto	-513.520508 -415.156311 37.391926	-0.680 25.626 91.315
weapon_jm_secondary_auto	-494.964905 -415.620636 37.391926	-0.680 25.626 91.315
weapon_jm_grenade_frag	-497.002930 1249.270996 38.412823	-36.295 -56.196 -90.848
weapon_jm_grenade_health	-680.661682 43.370159 31.743284	-0.078 0.000 -0.031
weapon_jm_grenade_health	-284.500458 -170.123917 31.701801	-0.106 0.000 -0.040
ent_jm_carepackage_spawn	-735.315369 -59.780582 0.362386	0.001 0.000 0.001
ent_jm_carepackage_spawn	-311.135345 -59.105694 0.374717	-0.013 -0.017 0.016
ent_jm_carepackage_spawn	-511.692719 188.735413 0.416675	0.010 -0.000 0.010
ent_jm_carepackage_spawn	-510.265594 330.745056 0.381694	0.001 0.000 0.002
ent_jm_carepackage_spawn	-80.412010 223.272644 0.399866	0.004 0.000 0.004
ent_jm_carepackage_spawn	-261.575867 215.437363 0.446304	0.083 -0.000 0.083
ent_jm_carepackage_spawn	-232.132874 451.691254 0.433325	0.031 -0.000 0.031
ent_jm_carepackage_spawn	-227.259476 825.194092 0.426487	0.019 -0.000 0.019
ent_jm_carepackage_spawn	-225.550247 646.330566 0.342349	0.000 0.000 0.000
