# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_traitor_express
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	91.000755 2566.796631 0.970381	1.802 -19.184 -86.141
weapon_jm_secondary_heavy	-86.744011 2566.731201 0.970559	1.948 -19.140 -85.885
weapon_jm_secondary_heavy	87.915680 62.812626 0.970389	1.809 -19.184 -86.128
weapon_jm_secondary_heavy	-92.663147 78.772438 0.970204	1.665 -19.230 -86.378
weapon_jm_secondary_heavy	-22.251841 2030.272217 264.941559	2.257 -18.505 -85.028
weapon_jm_grenade_tag	-91.423019 -1766.804443 0.182911	-1.718 -1.464 -0.939
weapon_jm_grenade_tag	-99.060493 1564.495972 0.192931	-1.351 -1.490 -0.738
weapon_jm_grenade_tag	92.914001 3225.180176 0.199470	-1.112 -1.501 -0.608
weapon_jm_grenade_jump	21.777048 3416.390381 64.175301	-1.999 -1.430 -1.090
weapon_jm_grenade_jump	-25.484413 3413.154053 64.171059	-2.152 -1.401 -1.177
weapon_jm_grenade_jump	99.144066 -2527.978271 0.199011	-1.128 -1.500 -0.617
weapon_jm_primary_smg	-100.434464 3103.833252 -0.528657	-7.470 0.726 -1.667
weapon_jm_primary_smg	99.461113 3107.465820 -0.507726	-7.528 0.850 -1.955
weapon_jm_primary_smg	89.522369 -2406.838867 -0.557713	-7.325 0.753 -1.968
weapon_jm_primary_smg	-88.141930 -2400.907227 -0.534434	-7.441 0.763 -1.726
weapon_jm_primary_smg	-68.772125 -1303.768066 1.094264	0.282 6.176 -87.243
weapon_jm_grenade_glue	-75.391426 750.157227 5.461457	-0.041 0.000 -0.024
weapon_jm_grenade_glue	28.387634 -448.186279 45.871464	-0.039 -0.000 0.022
weapon_jm_grenade_glue	94.441124 -32.750347 5.494573	-0.033 0.000 -0.014
weapon_jm_primary_lmg	3.875323 3750.850098 113.836655	13.568 20.506 93.877
weapon_jm_primary_rifle	-86.791397 660.871094 0.926953	0.083 13.138 -87.935
weapon_jm_primary_rifle	81.095375 628.306335 0.937860	0.067 13.141 -88.056
weapon_jm_primary_rifle	-1.414685 2017.123657 136.919968	0.092 11.255 -87.858
weapon_jm_secondary_light	77.975548 740.240234 0.185490	36.505 0.385 0.041
weapon_jm_secondary_light	77.708885 729.339966 0.171600	36.693 0.397 0.059
weapon_jm_secondary_light	74.472588 804.937866 0.164402	36.791 0.403 0.069
weapon_jm_secondary_light	74.207901 792.250549 0.172914	36.676 0.396 0.057
weapon_jm_secondary_light	-79.419891 725.348816 0.191259	36.426 0.381 0.033
weapon_jm_secondary_light	-77.452805 736.755981 0.179474	36.586 0.390 0.049
weapon_jm_secondary_light	-79.551666 795.910156 0.183604	36.530 0.387 0.043
weapon_jm_secondary_light	-80.011086 804.176697 0.188527	36.463 0.383 0.036
weapon_jm_secondary_light	102.740417 2465.685791 0.192696	36.407 0.379 0.031
weapon_jm_secondary_light	-92.141022 3225.313232 0.199708	36.311 0.374 0.021
weapon_jm_secondary_light	101.232704 1561.266602 0.197091	36.347 0.376 0.025
weapon_jm_secondary_light	-92.641708 -32.295067 0.192344	36.411 0.380 0.031
weapon_jm_secondary_light	96.623863 -1760.235596 0.181976	36.526 0.393 0.048
weapon_jm_secondary_light	-94.298477 -2519.162842 0.180018	36.579 0.390 0.048
weapon_jm_secondary_light	35.855503 -3292.042480 37.176186	-0.598 34.060 89.899
weapon_jm_secondary_light	23.468851 -3285.583496 37.177002	-0.727 34.054 90.034
weapon_jm_secondary_light	39.285400 3506.304932 64.183113	36.537 0.387 0.044
weapon_jm_secondary_light	-41.958427 3504.842773 64.172913	36.676 0.396 0.057
weapon_jm_secondary_auto	88.413467 1422.312500 1.108909	-0.722 25.128 91.145
weapon_jm_secondary_auto	-92.165329 1444.063232 1.107500	-0.606 25.137 90.960
weapon_jm_secondary_auto	80.768242 -1863.535522 1.105276	-0.425 25.142 90.672
weapon_jm_secondary_auto	-85.989555 -1893.547852 1.109110	-0.738 25.128 91.171
weapon_jm_primary_sniper	-7.003601 -3287.663086 35.383236	3.655 13.270 64.887
weapon_jm_primary_sniper	1.036287 3427.920654 63.168411	3.510 13.232 65.361
weapon_jm_primary_shotgun	77.146370 916.025513 1.497254	-0.484 -10.289 -89.835
weapon_jm_primary_shotgun	-80.991203 910.621216 1.498726	-0.491 -10.286 -89.728
weapon_jm_primary_shotgun	-5.590312 -445.864563 41.886047	-0.407 -9.748 -89.612
weapon_jm_grenade_frag	76.099785 820.130310 2.171376	-36.903 -55.572 -91.805
weapon_jm_grenade_frag	-78.300735 -1277.429565 2.099675	-35.807 -56.665 -90.100
weapon_jm_grenade_frag	-99.269264 2470.405762 2.124698	-36.190 -56.298 -90.685
weapon_jm_grenade_health	26.408028 -3303.781738 36.627518	-0.109 0.000 -0.042
weapon_jm_grenade_health	-37.855137 -3308.048340 36.696236	-0.013 -0.000 -0.066
weapon_jm_grenade_health	-10.181695 2042.030151 264.373169	-0.086 -0.000 0.033
ent_jm_carepackage_spawn	-53.639889 -3220.821777 0.435464	0.036 -0.000 0.036
ent_jm_carepackage_spawn	49.509167 -3226.688721 0.391905	0.003 0.000 0.002
ent_jm_carepackage_spawn	-9.061347 -3078.478760 0.404279	0.005 0.000 0.004
ent_jm_carepackage_spawn	-13.112613 -2873.458740 0.364376	0.001 0.000 0.000
ent_jm_carepackage_spawn	-5.248564 -2706.621582 0.414001	0.008 0.000 0.008
ent_jm_carepackage_spawn	0.297097 -2527.833008 0.403722	-0.014 0.013 -0.013
ent_jm_carepackage_spawn	-7.596130 -2401.232422 0.382959	0.003 0.000 0.000
ent_jm_carepackage_spawn	-8.992666 -2233.409424 0.361788	0.002 0.000 -0.001
ent_jm_carepackage_spawn	72.442726 -2085.438965 0.440429	0.049 -0.000 0.048
ent_jm_carepackage_spawn	-35.818077 -1986.859009 0.355381	0.002 0.000 -0.001
ent_jm_carepackage_spawn	28.908201 -1888.141602 0.339255	0.002 0.000 -0.001
ent_jm_carepackage_spawn	-4.305661 -1753.093750 0.403523	-0.004 -0.011 0.006
ent_jm_carepackage_spawn	3.614625 -1677.222778 0.394612	-0.040 -0.109 0.110
ent_jm_carepackage_spawn	-48.320374 -1577.835815 0.481890	0.034 0.575 0.049
ent_jm_carepackage_spawn	88.087074 -1451.724854 0.440863	0.055 -0.000 0.054
ent_jm_carepackage_spawn	-50.169407 -1360.355713 0.386883	0.002 0.000 0.001
ent_jm_carepackage_spawn	-9.572621 -1220.132202 0.404282	0.005 0.000 0.004
