# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_transit
# Exported by: Josh Mate
setting:	replacespawns 0
weapon_jm_secondary_heavy	-784.769287 -140.749451 -247.152466	2.221 -18.438 -84.063
weapon_jm_secondary_heavy	-755.911987 -144.954117 -247.172607	2.213 -18.357 -83.856
weapon_jm_secondary_heavy	-2020.520142 -337.365723 49.144691	2.531 -36.163 -83.937
weapon_jm_secondary_heavy	-2764.096191 -373.407410 -55.103325	2.865 -16.634 -84.303
weapon_jm_secondary_heavy	-3427.392090 -608.880859 -214.527039	1.900 -20.612 -85.970
weapon_jm_secondary_heavy	-2910.663818 219.421570 49.283855	2.034 -20.554 -85.736
weapon_jm_secondary_heavy	548.135803 -194.902679 136.844803	3.282 -16.511 -83.586
weapon_jm_secondary_heavy	26.583918 350.644836 0.880533	2.995 -16.605 -84.080
weapon_jm_grenade_tag	942.409973 53.566723 48.489323	-0.638 -1.820 -0.747
weapon_jm_grenade_tag	944.130615 -39.211945 48.458656	-0.993 -1.725 -1.174
weapon_jm_grenade_tag	-2546.328369 -289.420959 48.471535	-0.842 -1.775 -0.995
weapon_jm_grenade_tag	546.930664 -203.244965 136.153015	-2.497 -1.231 -1.794
weapon_jm_grenade_tag	554.122009 190.816620 136.165680	-2.081 -1.342 -1.498
weapon_jm_grenade_jump	-2705.396484 -179.366379 48.489338	-0.635 -1.820 -0.748
weapon_jm_grenade_jump	2144.439209 1.772271 136.151855	-2.535 -1.217 -1.821
weapon_jm_grenade_jump	-2912.991455 -208.304108 -255.838303	-2.210 -1.303 -1.591
weapon_jm_primary_smg	-2330.327148 662.347229 129.096344	0.208 6.193 -87.152
weapon_jm_primary_smg	-2686.867920 -67.921921 137.096344	0.208 6.191 -87.152
weapon_jm_primary_smg	-3085.808350 -421.994537 -254.903656	0.208 6.182 -87.152
weapon_jm_primary_smg	395.928772 -354.159119 137.096344	0.208 6.184 -87.152
weapon_jm_primary_smg	19.959021 210.706757 1.096338	0.208 6.163 -87.152
weapon_jm_primary_smg	-1565.763672 211.167404 1.096338	0.208 6.194 -87.152
weapon_jm_primary_smg	-1568.031250 -208.932449 1.049794	0.636 7.530 -86.366
weapon_jm_grenade_glue	-2664.399170 494.230865 181.743164	-0.000 -0.000 0.067
weapon_jm_grenade_glue	1338.745117 576.291138 45.947075	0.047 -0.000 -0.027
weapon_jm_primary_lmg	-767.958862 131.124725 -250.210602	18.586 -0.672 3.158
weapon_jm_primary_rifle	706.132324 -3.101576 -247.133011	0.166 11.252 -87.273
weapon_jm_primary_rifle	-2236.869141 2.336842 -247.157394	0.200 11.252 -87.004
weapon_jm_primary_rifle	-2715.331055 -104.363235 0.862195	-0.062 11.138 -87.519
weapon_jm_primary_rifle	1891.863525 -552.371033 0.874213	0.156 6.339 -87.356
weapon_jm_primary_rifle	1879.192505 536.940491 0.916221	0.007 11.148 -87.932
weapon_jm_secondary_light	922.569458 -40.568279 49.210484	-0.976 33.842 90.290
weapon_jm_secondary_light	926.910889 -55.571785 49.210571	-0.991 33.841 90.306
weapon_jm_secondary_light	927.785400 42.641289 49.209553	-0.826 33.895 90.136
weapon_jm_secondary_light	926.033569 60.569057 49.210304	-0.947 33.864 90.260
weapon_jm_secondary_light	-2523.540039 -292.296112 49.260296	-1.889 -32.903 -91.132
weapon_jm_secondary_light	-2528.770996 -274.665222 49.259541	-1.786 -32.816 -91.001
weapon_jm_secondary_light	-2547.041504 -272.306396 49.260448	-1.928 -32.821 -91.160
weapon_jm_secondary_light	-769.537659 -142.632385 -247.831161	36.731 0.399 0.063
weapon_jm_secondary_auto	-2357.090820 340.936859 49.426888	-0.931 25.595 91.712
weapon_jm_secondary_auto	-2653.965332 491.981903 177.421906	-0.610 25.660 91.102
weapon_jm_secondary_auto	-2706.693848 -184.969437 49.421051	-0.545 25.663 90.977
weapon_jm_secondary_auto	-3502.874756 -8.106108 -254.890503	-0.601 25.451 91.166
weapon_jm_secondary_auto	-1563.366699 187.269882 137.108505	-0.550 25.638 91.047
weapon_jm_secondary_auto	-1555.250000 -184.121658 137.111740	-0.744 25.618 91.447
weapon_jm_secondary_auto	543.356628 203.770142 137.113754	-0.851 25.399 91.691
weapon_jm_secondary_auto	35.800541 -216.056412 1.111854	-0.741 25.435 91.458
weapon_jm_secondary_auto	1344.404785 571.198425 41.614094	-0.417 26.686 91.349
weapon_jm_secondary_auto	1880.314697 -325.858124 49.424198	-0.753 25.640 91.372
weapon_jm_secondary_auto	1398.014648 -514.353149 49.426548	-0.908 25.595 91.669
weapon_jm_secondary_auto	-769.158081 -151.753433 -246.887527	-0.788 25.608 91.538
weapon_jm_primary_sniper	2145.608154 -4.465154 135.160934	3.343 13.327 65.081
weapon_jm_primary_sniper	-2908.672363 -213.095703 -256.941162	3.380 13.280 64.325
weapon_jm_primary_shotgun	-1708.294800 -470.996979 9.521807	-0.517 -9.520 -89.558
weapon_jm_primary_shotgun	-1801.379761 464.695923 9.479836	-0.504 -9.540 -89.221
weapon_jm_primary_shotgun	-3473.718018 223.893402 -254.535538	-0.499 -9.546 -89.097
