# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_vague_water
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	-268.679932 -627.492432 8.866449	2.228 -18.488 -84.257
weapon_jm_secondary_heavy	261.867981 651.364563 8.875508	2.232 -18.490 -84.350
weapon_jm_secondary_heavy	352.549927 3025.323486 45.126907	2.220 -18.437 -84.044
weapon_jm_secondary_heavy	352.004395 2994.265381 45.167633	2.236 -18.492 -84.461
weapon_jm_secondary_heavy	-349.859039 -3022.327393 45.141186	2.226 -18.489 -84.190
weapon_jm_secondary_heavy	-344.682098 -2989.650635 45.156635	2.815 -22.090 -84.181
weapon_jm_grenade_tag	806.673645 -1891.707031 44.467564	-1.593 -1.475 -0.871
weapon_jm_grenade_tag	749.490662 -543.513428 44.434063	-2.823 -1.186 -1.543
weapon_jm_grenade_tag	-266.086823 343.439026 44.465549	-1.667 -1.464 -0.911
weapon_jm_grenade_tag	702.164124 919.925232 44.438553	-2.657 -1.239 -1.453
weapon_jm_grenade_tag	868.944336 1557.557739 44.442772	-2.502 -1.323 -1.368
weapon_jm_grenade_jump	-925.330872 -2194.672852 44.451416	-2.185 -1.389 -1.195
weapon_jm_grenade_jump	286.480194 -924.403687 44.474731	-1.331 -1.490 -0.728
weapon_jm_grenade_jump	419.384216 -341.481262 164.442535	-2.502 -1.323 -1.368
weapon_jm_grenade_jump	260.930298 641.522644 8.161532	-2.502 -1.323 -1.368
weapon_jm_grenade_jump	-259.645203 -638.548950 8.170815	-1.047 -1.186 -1.932
weapon_jm_grenade_jump	949.373657 1186.573364 44.413288	-1.400 -1.083 -1.113
weapon_jm_grenade_jump	161.951904 -3047.356445 44.471306	-1.456 -1.484 -0.796
weapon_jm_grenade_jump	-922.789368 -268.153595 44.476330	-1.272 -1.495 -0.695
weapon_jm_grenade_jump	932.215881 247.135773 44.475273	-1.311 -1.491 -0.717
weapon_jm_grenade_jump	474.519562 1883.563965 44.450512	-2.218 -1.361 -1.213
weapon_jm_primary_smg	-607.507080 -2733.466797 45.374825	0.307 6.174 -87.273
weapon_jm_primary_smg	835.583008 -1891.470337 45.375702	0.276 6.177 -87.235
weapon_jm_primary_smg	-698.726196 -1640.003174 45.375065	0.298 6.181 -87.263
weapon_jm_primary_smg	-509.055511 91.870575 45.374725	0.311 6.176 -87.279
weapon_jm_primary_smg	781.266785 -550.323792 45.375248	0.292 6.175 -87.255
weapon_jm_primary_smg	-524.454224 1570.581299 45.374706	0.311 6.176 -87.279
weapon_jm_primary_smg	611.961609 1777.286377 45.374947	0.302 6.174 -87.268
weapon_jm_grenade_glue	672.817017 -2208.331543 49.694786	-0.059 0.000 -0.034
weapon_jm_grenade_glue	-354.185486 -2993.453857 49.705048	-0.055 0.000 -0.032
weapon_jm_grenade_glue	-597.638245 1497.490234 49.699986	-0.057 0.000 -0.033
weapon_jm_grenade_glue	855.284058 -419.031219 49.751610	-0.040 0.000 -0.023
weapon_jm_grenade_glue	-499.694489 530.536194 49.719345	-0.051 0.000 -0.029
weapon_jm_primary_lmg	671.296875 -2184.809814 42.089699	18.634 -0.373 2.992
weapon_jm_primary_rifle	926.888977 -1795.966309 45.195194	0.101 11.254 -87.792
weapon_jm_primary_rifle	268.216156 -925.251648 45.133190	0.187 11.252 -87.107
weapon_jm_primary_rifle	-914.781982 -256.215698 45.149490	0.164 11.253 -87.287
weapon_jm_primary_rifle	-510.322937 539.722961 45.126240	-0.003 13.305 -87.536
weapon_jm_primary_rifle	924.609192 254.983917 45.125473	0.197 11.252 -87.022
weapon_jm_primary_rifle	973.510803 1179.131836 45.136108	0.183 11.252 -87.139
weapon_jm_primary_rifle	-609.186340 1472.189941 45.202675	-0.227 18.919 -88.668
weapon_jm_secondary_light	-179.091934 3032.376465 45.175610	-0.506 34.065 89.805
weapon_jm_secondary_light	-157.491455 3034.240479 45.175377	-0.469 34.066 89.767
weapon_jm_secondary_light	178.463562 -3031.953857 45.176243	-0.607 34.060 89.909
weapon_jm_secondary_light	156.069397 -3031.725586 45.176865	-0.706 34.055 90.011
weapon_jm_secondary_auto	345.624847 3012.344238 45.391926	-0.680 25.626 91.315
weapon_jm_secondary_auto	-169.284470 3044.365967 45.393723	-0.788 25.608 91.538
weapon_jm_secondary_auto	169.565765 -3044.069092 45.388504	-0.476 25.640 90.893
weapon_jm_secondary_auto	-355.060760 -3004.426758 45.392849	-0.736 25.618 91.430
weapon_jm_primary_sniper	-925.757202 -2172.809326 43.404205	3.606 13.247 65.008
weapon_jm_primary_sniper	414.609711 -313.958923 163.355392	3.732 5.233 64.871
weapon_jm_primary_sniper	438.152374 1892.624268 43.402237	3.611 13.250 64.997
weapon_jm_primary_shotgun	-800.043640 -1533.126953 45.790546	-0.513 -9.662 -89.457
weapon_jm_primary_shotgun	-664.047302 318.528625 45.749653	-0.501 -9.611 -89.129
weapon_jm_primary_shotgun	863.772278 -392.614532 45.774826	-0.508 -9.605 -89.331
weapon_jm_primary_shotgun	-264.859711 319.359222 45.783993	-0.511 -9.604 -89.405
weapon_jm_primary_shotgun	722.342224 925.361511 45.710140	-0.488 -9.619 -88.812
weapon_jm_primary_shotgun	868.958191 1526.107422 45.764217	-0.395 -9.888 -89.637
weapon_jm_grenade_frag	927.751953 -1802.435669 46.374657	-35.711 -56.761 -89.955
