# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_warmup
# Exported by: Josh
setting:	replacespawns 0
weapon_jm_secondary_heavy	-999.172241 874.732727 36.843746	2.219 -18.440 -84.024
weapon_jm_secondary_heavy	-991.818970 152.542526 36.845661	2.220 -18.437 -84.044
weapon_jm_secondary_heavy	509.269104 21.869144 37.230225	6.751 -17.486 -77.552
weapon_jm_secondary_heavy	551.829285 992.230164 37.121105	2.218 -18.429 -83.984
weapon_jm_grenade_tag	-944.124817 995.216553 36.186306	-1.593 -1.475 -0.871
weapon_jm_grenade_tag	-939.256714 1005.074341 36.189453	-1.478 -1.483 -0.808
weapon_jm_grenade_tag	-931.828125 999.162231 36.171055	-2.153 -1.401 -1.176
weapon_jm_grenade_tag	-865.640991 37.660500 36.181480	-1.770 -1.448 -0.968
weapon_jm_grenade_tag	-877.802124 29.054560 36.155094	-2.739 -1.229 -1.498
weapon_jm_grenade_tag	-874.434937 37.758163 36.186306	-1.593 -1.475 -0.871
weapon_jm_grenade_jump	-881.610046 1004.011658 36.208641	-0.776 -1.510 -0.425
weapon_jm_grenade_jump	-874.188416 1002.778442 36.176922	-1.937 -1.428 -1.059
weapon_jm_grenade_jump	-868.114319 997.253967 36.187382	-1.176 -1.190 -1.117
weapon_jm_grenade_jump	-926.463196 26.971346 36.159451	-2.578 -1.238 -1.410
weapon_jm_grenade_jump	-933.157654 33.731956 36.177711	-1.908 -1.428 -1.043
weapon_jm_grenade_jump	-926.801636 35.106155 36.163551	-2.428 -1.323 -1.327
weapon_jm_primary_smg	-992.798645 882.805603 37.157505	-2.015 4.464 -84.415
weapon_jm_primary_smg	-994.256836 132.983551 37.093655	0.304 6.174 -87.270
weapon_jm_primary_smg	484.804169 37.740948 37.356873	0.257 6.131 -87.099
weapon_jm_primary_smg	480.241974 978.760803 37.372604	0.206 6.511 -87.120
weapon_jm_grenade_glue	-917.622986 1003.881775 41.438068	-0.051 0.000 -0.029
weapon_jm_grenade_glue	-908.659973 1004.693970 41.449009	-0.047 0.000 -0.027
weapon_jm_grenade_glue	-898.803528 1002.802979 41.451099	-0.046 0.000 -0.027
weapon_jm_grenade_glue	-892.623779 22.321440 41.477211	0.037 -0.000 -0.023
weapon_jm_grenade_glue	-905.871704 23.050478 41.423691	0.056 -0.000 -0.032
weapon_jm_grenade_glue	-917.067505 23.490944 41.466736	-0.041 0.000 -0.023
weapon_jm_primary_lmg	-992.204468 942.248718 33.808449	18.634 -0.376 2.992
weapon_jm_primary_lmg	-998.207458 78.702782 33.808449	18.634 -0.362 2.992
weapon_jm_primary_lmg	530.750427 19.344425 34.043411	18.506 -1.268 1.874
weapon_jm_primary_lmg	484.236969 1009.361694 34.089710	18.634 -0.376 2.992
weapon_jm_primary_rifle	-990.001038 909.174255 36.859093	0.177 11.252 -87.186
weapon_jm_primary_rifle	-993.214661 100.028664 37.011288	-0.064 13.592 -89.642
weapon_jm_primary_rifle	514.480835 30.628614 37.227570	0.072 9.071 -88.283
weapon_jm_primary_rifle	510.569366 985.459778 37.646221	4.832 5.991 -80.625
weapon_jm_secondary_light	-1002.335510 864.649658 36.896187	-0.797 34.051 90.105
weapon_jm_secondary_light	-979.653381 164.166992 36.895683	-0.716 34.054 90.022
weapon_jm_secondary_light	540.706116 37.554211 37.176315	-0.616 34.060 89.918
weapon_jm_secondary_light	498.649048 980.826538 37.176033	-0.571 34.062 89.872
weapon_jm_secondary_auto	-983.568054 869.421753 37.110432	-0.665 25.630 91.284
weapon_jm_secondary_auto	-1007.658142 161.692429 37.111740	-0.744 25.618 91.447
weapon_jm_secondary_auto	479.972687 34.825554 37.392864	-0.736 25.618 91.430
weapon_jm_secondary_auto	538.564941 998.402283 37.393436	-0.770 25.609 91.501
